SampleName,Batch,GermFree,SampleType,Group,AnimalID,DonorID,MouseSex,DonorHealthStatus,Dam,SampleShortName,PostnatalDay,DaysSinceWeaning,DaysSinceFMT
VIVO6-16S-DONOR1,3,N,Donor,3,DONOR1,1,,H,,D1-INOCULUM,,,
VIVO6-16S-DONOR2,3,N,Donor,3,DONOR2,2,,H,,D2-INOCULUM,,,
VIVO6-16S-DONOR3,3,N,Donor,3,DONOR3,3,,S,,D3-INOCULUM,,,
VIVO6-16S-DONOR4,3,N,Donor,3,DONOR4,4,,S,,D4-INOCULUM,,,
VIVO6-FEC-16S-APR26_F11,1,N,Breeder,2,VIVO6-F11,4,F,S,,F11-FMT+14,,,14
VIVO6-FEC-16S-MAY18_F11,1,N,Breeder,2,VIVO6-F11,4,F,S,,F11-POSTNATAL,,,36
VIVO6-FEC-16S-APR10_F11,1,Y,Breeder,2,VIVO6-F11,4,F,S,,F11-GF,,,-2
VIVO6-FEC-16S-MAY5_F11,1,N,Breeder,2,VIVO6-F11,4,F,S,,F11-PRENATAL,,,23
VIVO6-FEC-16S-JUN13_F11,1,N,Breeder,2,VIVO6-F11,4,F,S,,F11-WEAN,,,62
VIVO6-FEC-16S-APR26_F12,1,N,Breeder,2,VIVO6-F12,4,F,S,,F12-FMT+14,,,14
VIVO6-FEC-16S-MAY19_F12,1,N,Breeder,2,VIVO6-F12,4,F,S,,F12-POSTNATAL,,,37
VIVO6-FEC-16S-APR10_F12,1,Y,Breeder,2,VIVO6-F12,4,F,S,,F12-GF,,,-2
VIVO6-FEC-16S-MAY5_F12,1,N,Breeder,2,VIVO6-F12,4,F,S,,F12-PRENATAL,,,23
VIVO6-FEC-16S-JUN14_F12,1,N,Breeder,2,VIVO6-F12,4,F,S,,F12-WEAN,,,63
VIVO6-FEC-16S-APR26_F14,1,N,Breeder,3,VIVO6-F14,1,F,H,,F14-FMT+14,,,14
VIVO6-FEC-16S-MAY19_F14,1,N,Breeder,3,VIVO6-F14,1,F,H,,F14-POSTNATAL,,,37
VIVO6-FEC-16S-APR10_F14,1,Y,Breeder,3,VIVO6-F14,1,F,H,,F14-GF,,,-2
VIVO6-FEC-16S-MAY5_F14,1,N,Breeder,3,VIVO6-F14,1,F,H,,F14-PRENATAL,,,23
VIVO6-FEC-16S-JUN9_F14,1,N,Breeder,3,VIVO6-F14,1,F,H,,F14-WEAN,,,58
VIVO6-FEC-16S-APR26_F15,1,N,Breeder,3,VIVO6-F15,1,F,H,,F15-FMT+14,,,14
VIVO6-FEC-16S-MAY25_F15,1,N,Breeder,3,VIVO6-F15,1,F,H,,F15-POSTNATAL,,,43
VIVO6-FEC-16S-APR10_F15,1,Y,Breeder,3,VIVO6-F15,1,F,H,,F15-GF,,,-2
VIVO6-FEC-16S-MAY12_F15,1,N,Breeder,3,VIVO6-F15,1,F,H,,F15-PRENATAL,,,30
VIVO6-FEC-16S-JUN21_F15,1,N,Breeder,3,VIVO6-F15,1,F,H,,F15-WEAN,,,70
VIVO6-FEC-16S-APR26_F17,1,N,Breeder,3,VIVO6-F17,2,F,H,,F17-FMT+14,,,14
VIVO6-FEC-16S-MAY17_F17,1,N,Breeder,3,VIVO6-F17,2,F,H,,F17-POSTNATAL,,,35
VIVO6-FEC-16S-APR10_F17,1,Y,Breeder,3,VIVO6-F17,2,F,H,,F17-GF,,,-2
VIVO6-FEC-16S-MAY3_F17,1,N,Breeder,3,VIVO6-F17,2,F,H,,F17-PRENATAL,,,21
VIVO6-FEC-16S-JUN7_F17,1,N,Breeder,3,VIVO6-F17,2,F,H,,F17-WEAN,,,56
VIVO6-FEC-16S-APR26_F2,1,N,Breeder,1,VIVO6-F2,1,F,H,,F2-FMT+14,,,14
VIVO6-FEC-16S-MAY19_F2,1,N,Breeder,1,VIVO6-F2,1,F,H,,F2-POSTNATAL,,,37
VIVO6-FEC-16S-APR10_F2,1,Y,Breeder,1,VIVO6-F2,1,F,H,,F2-GF,,,-2
VIVO6-FEC-16S-MAY5_F2,1,N,Breeder,1,VIVO6-F2,1,F,H,,F2-PRENATAL,,,23
VIVO6-FEC-16S-JUN5_F2,1,N,Breeder,1,VIVO6-F2,1,F,H,,F2-WEAN,,,54
VIVO6-FEC-16S-JUN2_F23,2,N,Pup,1,VIVO6-F23,1,F,H,VIVO6-F2,F23-P21,21,-6,
VIVO6-FEC-16S-JUN8_F23,2,N,Pup,1,VIVO6-F23,1,F,H,VIVO6-F2,F23-P27,27,0,
VIVO6-FEC-16S-JUN13_F23,2,N,Pup,1,VIVO6-F23,1,F,H,VIVO6-F2,F23-P32,32,5,
VIVO6-FEC-16S-JUN19_F23,2,N,Pup,1,VIVO6-F23,1,F,H,VIVO6-F2,F23-P38,38,11,
VIVO6-FEC-16S-JUN2_F24,2,N,Pup,1,VIVO6-F24,1,F,H,VIVO6-F2,F24-P21,21,-6,
VIVO6-FEC-16S-JUN8_F24,2,N,Pup,1,VIVO6-F24,1,F,H,VIVO6-F2,F24-P27,27,0,
VIVO6-FEC-16S-JUN13_F24,2,N,Pup,1,VIVO6-F24,1,F,H,VIVO6-F2,F24-P32,32,5,
VIVO6-FEC-16S-JUN19_F24,2,N,Pup,1,VIVO6-F24,1,F,H,VIVO6-F2,F24-P38,38,11,
VIVO6-FEC-16S-JUN2_F25,2,N,Pup,1,VIVO6-F25,1,F,H,VIVO6-F2,F25-P21,21,-6,
VIVO6-FEC-16S-JUN8_F25,2,N,Pup,1,VIVO6-F25,1,F,H,VIVO6-F2,F25-P27,27,0,
VIVO6-FEC-16S-JUN13_F25,2,N,Pup,1,VIVO6-F25,1,F,H,VIVO6-F2,F25-P32,32,5,
VIVO6-FEC-16S-JUN19_F25,2,N,Pup,1,VIVO6-F25,1,F,H,VIVO6-F2,F25-P38,38,11,
VIVO6-FEC-16S-JUN2_F26,2,N,Pup,1,VIVO6-F26,1,F,H,VIVO6-F3,F26-P21,21,-3,
VIVO6-FEC-16S-JUN5_F26,2,N,Pup,1,VIVO6-F26,1,F,H,VIVO6-F3,F26-P24,24,0,
