litter,date,weight,length.body,length.tail
2,2023-05-19,3.7,,
2,2023-05-19,3.9,,
2,2023-05-19,4.1,,
2,2023-05-19,3.9,,
2,2023-05-19,3.7,,
2,2023-05-19,4,,
2,2023-05-19,4,,
2,2023-05-19,3.1,,
2,2023-05-19,3.3,,
2,2023-05-19,3.6,,
2,2023-05-19,3.2,,
2,2023-05-23,5.3,45,32
2,2023-05-23,5.9,49,34
2,2023-05-23,4.9,44,29
2,2023-05-23,5.9,41,30
2,2023-05-23,5.7,40,33
2,2023-05-23,5.7,45,32
2,2023-05-23,5.2,47,32
2,2023-05-23,4.4,44,29
2,2023-05-23,5.5,44,33
2,2023-05-23,4.9,42,29
2,2023-05-23,5.8,46,31
2,2023-05-26,6.8,48,35
2,2023-05-26,6.3,45,37
2,2023-05-26,5.4,47,37
2,2023-05-26,6.4,51,36
2,2023-05-26,6.5,52,39
2,2023-05-26,6.3,52,42
2,2023-05-26,6.5,52,39
2,2023-05-26,6.4,53,39
2,2023-05-26,6.2,49,40
2,2023-05-26,6.1,52,37
2,2023-05-26,5.5,49,36
2,2023-05-29,6.5,53,46
2,2023-05-29,6.5,53,47
2,2023-05-29,6.1,53,40
2,2023-05-29,6.6,53,49
2,2023-05-29,6.4,57,49
2,2023-05-29,6.4,54,48
2,2023-05-29,6.2,56,42
2,2023-05-29,6.6,53,47
2,2023-05-29,6.4,56,44
2,2023-05-29,7.1,57,45
2,2023-05-29,5.6,52,43
2,2023-06-02,8.4,58,46
2,2023-06-02,7.5,60,51
2,2023-06-02,8.7,62,49
2,2023-06-02,8.1,61,50
2,2023-06-02,8.9,62,54
2,2023-06-02,8.3,60,52
2,2023-06-02,8.7,60,52
2,2023-06-05,10.4,72,59
2,2023-06-05,9.3,71,52
2,2023-06-05,11.3,72,59
2,2023-06-05,10.3,73,55
2,2023-06-05,11.7,74,60
2,2023-06-05,10.5,73,56
2,2023-06-05,10.9,75,60
2,2023-06-08,13,75,65
2,2023-06-08,11.7,72,61
2,2023-06-08,14.3,77,65
2,2023-06-08,13.5,78,59
2,2023-06-08,13.9,76,65
2,2023-06-08,12.8,76,60
2,2023-06-08,13.7,74,64
2,2023-06-13,16.7,86,66
2,2023-06-13,16.1,84,64
2,2023-06-13,18.6,85,65
2,2023-06-13,18.1,84,59
2,2023-06-13,16.1,84,67
2,2023-06-13,16.2,84,64
2,2023-06-13,17,84,65
2,2023-06-15,18.2,88,68
2,2023-06-15,17.7,85,66
2,2023-06-15,19.2,86,68
2,2023-06-15,18.8,85,60
2,2023-06-15,16.8,86,68
2,2023-06-15,17,84,67
2,2023-06-15,17.5,84,68
2,2023-06-19,19.9,88,70
2,2023-06-19,20.1,86,66
2,2023-06-19,20.8,87,69
2,2023-06-19,20.5,86,60
2,2023-06-19,17.1,90,69
2,2023-06-19,18.1,84,67
2,2023-06-19,18.3,84,70
3,2023-05-19,4.7,,
3,2023-05-19,4.7,,
3,2023-05-19,4.8,,
3,2023-05-19,4.8,,
3,2023-05-25,7.3,54,36
3,2023-05-25,7.8,51,40
3,2023-05-25,7.9,60,39
3,2023-05-25,7.6,53,45
3,2023-05-29,8,57,45
3,2023-05-29,8.2,56,47
3,2023-05-29,8.4,60,46
3,2023-05-29,8.2,58,45
3,2023-06-02,10.6,65,52
3,2023-06-02,10.9,64,53
3,2023-06-02,10.1,61,52
3,2023-06-05,10.8,74,61
3,2023-06-05,13.4,76,60
3,2023-06-05,12,75,59
3,2023-06-08,14.9,78,62
3,2023-06-08,15.5,79,62
3,2023-06-08,14.1,79,59
3,2023-06-13,19.0,88,65
3,2023-06-13,18.3,85,64
3,2023-06-13,17.2,84,63
3,2023-06-15,19.9,90,66
3,2023-06-15,19.2,85,65
3,2023-06-15,18.4,85,64
