Date,AnimalID,SampleID,SampleName,Group,Dam,DonorID,SampleType,PrePostFVT,PostnatalDay
APR16,F2,6,VIVO7-FEC-16S-APR16_F2,1,,1,Breeder,,
APR30,F2,8,VIVO7-FEC-16S-APR30_F2,1,,1,Breeder,,
APR30,F5,9,VIVO7-FEC-16S-APR30_F5,1,,1,Breeder,,
MAY13,POOL-F2,122,VIVO7-FEC-16S-MAY13_POOL-F2,1,F2,1,Pup,Pre,20
MAY16,F16,17,VIVO7-FEC-16S-MAY16_F16,1,F2,1,Pup,Pre,23
MAY16,F5,2,VIVO7-FEC-16S-MAY16_F5,1,,1,Breeder,,
MAY16,M12,13,VIVO7-FEC-16S-MAY16_M12,1,F2,1,Pup,Pre,23
MAY16,M13,14,VIVO7-FEC-16S-MAY16_M13,1,F2,1,Pup,Pre,23
MAY16,M14,15,VIVO7-FEC-16S-MAY16_M14,1,F2,1,Pup,Pre,23
MAY16,F15,16,VIVO7-FEC-16S-MAY16_F15,1,F2,1,Pup,Pre,23
MAY27,F15,21,VIVO7-FEC-16S-MAY27_F15,1,F2,1,Pup,Pre,34
MAY27,F16,22,VIVO7-FEC-16S-MAY27_F16,1,F2,1,Pup,Pre,34
MAY27,F2,3,VIVO7-FEC-16S-MAY27_F2,1,,1,Breeder,,
MAY27,M12,18,VIVO7-FEC-16S-MAY27_M12,1,F2,1,Pup,Pre,34
MAY27,M13,19,VIVO7-FEC-16S-MAY27_M13,1,F2,1,Pup,Pre,34
MAY27,M14,20,VIVO7-FEC-16S-MAY27_M14,1,F2,1,Pup,Pre,34
MAY29,F21,44,VIVO7-FEC-16S-MAY29_F21,1,F5,1,Pup,Pre,20
MAY29,F22,45,VIVO7-FEC-16S-MAY29_F22,1,F5,1,Pup,Pre,20
MAY29,F23,46,VIVO7-FEC-16S-MAY29_F23,1,F5,1,Pup,Pre,20
MAY29,F24,47,VIVO7-FEC-16S-MAY29_F24,1,F5,1,Pup,Pre,20
MAY29,M20,43,VIVO7-FEC-16S-MAY29_M20,1,F5,1,Pup,Pre,20
MAY30,M12,23,VIVO7-FEC-16S-MAY30_M12,1,F2,1,Pup,During,37
MAY30,M13,24,VIVO7-FEC-16S-MAY30_M13,1,F2,1,Pup,During,37
MAY30,M14,25,VIVO7-FEC-16S-MAY30_M14,1,F2,1,Pup,During,37
MAY30,F15,26,VIVO7-FEC-16S-MAY30_F15,1,F2,1,Pup,During,37
MAY30,F16,27,VIVO7-FEC-16S-MAY30_F16,1,F2,1,Pup,During,37
JUN6,F5,11,VIVO7-FEC-16S-JUN6_F5,1,,1,Breeder,,
JUN7,F15,31,VIVO7-FEC-16S-JUN7_F15,1,F2,1,Pup,Post,45
JUN7,F16,32,VIVO7-FEC-16S-JUN7_F16,1,F2,1,Pup,Post,45
JUN7,M12,28,VIVO7-FEC-16S-JUN7_M12,1,F2,1,Pup,Post,45
JUN7,M13,29,VIVO7-FEC-16S-JUN7_M13,1,F2,1,Pup,Post,45
JUN7,M14,30,VIVO7-FEC-16S-JUN7_M14,1,F2,1,Pup,Post,45
JUN10,F21,49,VIVO7-FEC-16S-JUN10_F21,1,F5,1,Pup,Pre,32
JUN10,F22,50,VIVO7-FEC-16S-JUN10_F22,1,F5,1,Pup,Pre,32
JUN10,F23,51,VIVO7-FEC-16S-JUN10_F23,1,F5,1,Pup,Pre,32
JUN10,F24,52,VIVO7-FEC-16S-JUN10_F24,1,F5,1,Pup,Pre,32
JUN10,M20,48,VIVO7-FEC-16S-JUN10_M20,1,F5,1,Pup,Pre,32
JUN11,F15,36,VIVO7-FEC-16S-JUN11_F15,1,F2,1,Pup,Post,49
