tax_id	VIVO7-FEC-16S-JUN21_F27.fq	VIVO7-FEC-16S-MAY27_F18.fq	VIVO7-FEC-16S-JUN11_M14.fq	VIVO7-FEC-16S-JUN25_F21.fq	VIVO7-FEC-16S-MAY27_M13.fq	VIVO7-FEC-16S-MAY27_F2.fq	VIVO7-FEC-16S-MAY17_F18.fq	VIVO7-FEC-16S-JUN14_F21.fq	VIVO7-FEC-16S-MAY16_M13.fq	VIVO7-FEC-16S-JUL4_F19.fq	VIVO7-FEC-16S-MAY29_F21.fq	VIVO7-FEC-16S-JUL4_M12.fq	VIVO7-FEC-16S-JUL3_F27.fq	VIVO7-FEC-16S-JUN10_F27.fq	VIVO7-FEC-16S-JUN10_F21.fq	VIVO7-FEC-16S-MAY14_POOL-F11.fq	VIVO7-FEC-16S-JUN28_M26.fq	VIVO7-FEC-16S-JUL4_M14.fq	VIVO7-FEC-16S-JUL19_F21.fq	VIVO7-FEC-16S-MAY16_F15.fq	VIVO7-FEC-16S-MAY13_POOL-F2.fq	VIVO7-FEC-16S-JUN18_M26.fq	VIVO7-FEC-16S-MAY27_F15.fq	VIVO7-FEC-16S-JUN11_M12.fq	VIVO7-FEC-16S-JUN11_F19.fq	VIVO7-FEC-16S-JUN21_F21.fq	VIVO7-FEC-16S-JUN7_F16.fq	VIVO7-FEC-16S-MAY30_F16.fq	VIVO7-FEC-16S-JUN11_F15.fq	VIVO7-FEC-16S-MAY13_F8.fq	VIVO7-FEC-16S-MAY27_M12.fq	VIVO7-FEC-16S-JUN25_M20.fq	VIVO7-FEC-16S-MAY27_F19.fq	VIVO7-FEC-16S-JUN21_M26.fq	VIVO7-FEC-16S-MAY27_F8.fq	VIVO7-FEC-16S-JUN10_M26.fq	VIVO7-FEC-16S-JUL4_M13.fq	VIVO7-FEC-16S-JUL3_M26.fq	VIVO7-FEC-16S-JUL4_F18.fq	VIVO7-FEC-16S-MAY29_M20.fq	VIVO7-FEC-16S-MAY17_F19.fq	VIVO7-FEC-16S-APR16_F2.fq	VIVO7-FEC-16S-MAY16_M12.fq	VIVO7-FEC-16S-JUN14_M20.fq	VIVO7-FEC-16S-JUL19_M20.fq	VIVO7-FEC-16S-MAY16_M14.fq	VIVO7-FEC-16S-JUN28_F27.fq	VIVO7-FEC-16S-JUL4_F15.fq	VIVO7-FEC-16S-JUN10_M20.fq	VIVO7-FEC-16S-APR16_F11.fq	VIVO7-FEC-16S-JUN7_M17.fq	VIVO7-FEC-16S-JUN11_F18.fq	VIVO7-FEC-16S-JUN21_M20.fq	VIVO7-FEC-16S-MAY27_M14.fq	VIVO7-FEC-16S-AUG2_M26.fq	VIVO7-FEC-16S-JUN11_M13.fq	VIVO7-FEC-16S-JUN18_F27.fq	VIVO7-FEC-16S-JUL3_M25.fq	VIVO7-FEC-16S-JUN10_M25.fq	VIVO7-FEC-16S-JUN14_F23.fq	VIVO7-FEC-16S-MAY29_F23.fq	VIVO7-FEC-16S-JUN28_F29.fq	VIVO7-FEC-16S-MAY27_F11.fq	VIVO7-FEC-16S-JUN25_F23.fq	VIVO7-FEC-16S-MAY30_F15.fq	VIVO7-FEC-16S-JUN11_F16.fq	VIVO7-FEC-16S-JUN7_F19.fq	VIVO7-FEC-16S-JUN18_F29.fq	VIVO7-FEC-16S-JUN7_M12.fq	VIVO7-FEC-16S-APR30_F2.fq	VIVO7-FEC-16S-AUG2_F28.fq	VIVO7-FEC-16S-JUN21_M25.fq	VIVO7-FEC-16S-JUN21_F23.fq	VIVO7-FEC-16S-MAY30_F18.fq	VIVO7-FEC-16S-JUN7_M14.fq	VIVO7-FEC-16S-MAY2_F11.fq	VIVO7-FEC-16S-AUG2_M25.fq	VIVO7-FEC-16S-MAY30_M13.fq	VIVO7-FEC-16S-JUN21_F28.fq	VIVO7-FEC-16S-MAY27_M17.fq	VIVO7-FEC-16S-JUL3_F28.fq	VIVO7-FEC-16S-JUN10_F28.fq	VIVO7-FEC-16S-JUL19_F23.fq	VIVO7-FEC-16S-JUN10_F23.fq	VIVO7-FEC-16S-MAY17_M17.fq	VIVO7-FEC-16S-JUL4_F16.fq	VIVO7-FEC-16S-MAY16_F5.fq	VIVO7-FEC-16S-MAY29_F22.fq	VIVO7-FEC-16S-JUN28_F28.fq	VIVO7-FEC-16S-JUL19_F24.fq	VIVO7-FEC-16S-JUN14_F22.fq	VIVO7-FEC-16S-JUN10_F24.fq	VIVO7-FEC-16S-JUN18_F8.fq	VIVO7-FEC-16S-AUG2_F29.fq	VIVO7-FEC-16S-JUN21_F24.fq	VIVO7-FEC-16S-JUN7_M13.fq	VIVO7-FEC-16S-JUN18_F28.fq	VIVO7-FEC-16S-JUN25_F22.fq	VIVO7-FEC-16S-JUN6_F5.fq	VIVO7-FEC-16S-MAY30_M14.fq	VIVO7-FEC-16S-JUN11_M17.fq	VIVO7-FEC-16S-MAY30_M12.fq	VIVO7-FEC-16S-JUN25_F24.fq	VIVO7-FEC-16S-MAY27_F16.fq	VIVO7-FEC-16S-JUN21_F29.fq	VIVO7-FEC-16S-JUN18_M25.fq	VIVO7-FEC-16S-JUN7_F15.fq	VIVO7-FEC-16S-JUN21_F22.fq	VIVO7-FEC-16S-MAY30_F19.fq	VIVO7-FEC-16S-APR30_F5.fq	VIVO7-FEC-16S-JUL4_M17.fq	VIVO7-FEC-16S-JUN28_M25.fq	VIVO7-FEC-16S-JUN10_F22.fq	VIVO7-FEC-16S-JUL19_F22.fq	VIVO7-FEC-16S-JUN14_F24.fq	VIVO7-FEC-16S-MAY16_F16.fq	VIVO7-FEC-16S-JUN10_F29.fq	VIVO7-FEC-16S-JUL3_F29.fq
105841	19.15779620599911		87.21629141321661		383.2631376396821	1007.911194510876		74.12936380661999	608.433221194417		37.4574898785425	29.47409686973676						63.52060059729292	29.473340587595217	447.41187778561215	81.4325068962302	18.020847667741744	1006.4740764641524	82.79190601796938		36.37100576329081	324.72875149173876	295.4090578746012	248.43284810840825		103.00046903335247	12.187092095721535					100.4893966595498			83.00122100122101	15.534398190303229	130.07013990983748	837.5522124063916	385.63317672383874	22.11234447932481	92.6822225637376		353.69895247183837	46.24121146660417	21.08246911372061			54.38168558555842	336.0912877022337		415.53245438941104				92.24970067269362	69.72274961050721		12.076496281466955	30.174868288308485	269.70759058359107	163.50545454545457			189.7943232039309	116.9461725730284			127.3120797351826		37.72265625			148.47494860344716	12.035827198609258				29.28260053619999	470.2850987298898		241.4877443912244	50.17225055400321	198.9074621318888		74.26687837780666	218.35173901779115	81.67358929061746	15.003109220966635		14.760054487579042	341.14126920310457		13.85976626897274	16.197958552428087	892.9917218637048		93.01250994142109	28.24249664028868	128.4107775943451			150.07262140255293	42.99758455997525		16.554059462250084			302.7997666486689	39.1828162406642	123.77383449197713	713.2564137967727		32.02748511223088
1229621					17.05268430281233	33.920201614326565			17.03318158091816											13.662344812549405			19.129349527727385					11.626075456219995														11.0905597099857	27.02849440150861	41.750645110948234				17.94199632883661						12.211280957778		13.689284098635792									14.527611557420926				11.827405322528104				17.945841125051697											27.29525949364198		21.92766424457967					16.025687531310304	10.087916045448498								24.69131489603178													13.034546057048065			13.042770412705885		
1304																													13.07519884309472								12.058727569331165											13.057478833490125								15.0421725241521																																																														
1335613						23.040539349607823		24.041955819250937										13.10742244128733			11.196969696969695	25.030356383947545	33.019404915912034					12.040080718112868						14.102360184710108									13.03221524028675	26.06	22.112244897940545			16.07074317968015										17.14094677721316				22.102838063439066		25.14572357359041	15.064827127659576			28.106463878326995			12.085702735480394		31.074529324122988				13.076312154696131									12.067182846932695				22.079314332358344	13.020967741935484		26.005389159498392	21.11316687622224				14.110414674727322		15.010662117496535			11.095266537255489		18.08783110934077			13.045187165775404					22.058330681938703	29.13594009032185		24.04300724932801		16.01374255611544
1351	28.761165679427737			11.397074873184849	37.12201745877788	103.18167888120638		85.1485935233634	14.055424780654825				12.219667943805876		28.455479452054792			23.19005508843143	31.505985306621877	17.082524481007088	14.250688705234516	39.04735595895817	64.037633776315			65.32803324408452			10.057845263919017		20.12379391483922				25.286368843070044		26.13162578263134						21.052040003540135	68.74467489212506	30.153061197180627			14.152434430053026					31.224069007355155	23.140536036661576	26.28125650093661	30.084318873066454	28.20507579628763	21.17411072479273	12.135944820090476	49.692823937297696		13.06076794657763		60.438812018034376	12.05186170212766			40.58562463492488		395.5111589652621	54.38566217518782		122.21533714104804				56.32873667501731						52.506731652278006	87.31466634444133		11.707020854667736	70.2410330035089		13.112325868453537	80.28841575403034	35.05645162787986	40.35016286644285	41.008498289978235	66.3556672455744		13.050854223579591		66.88015779556542	23.783226484221963	18.012799317438173			20.17321187960424	19.196186607236942	48.234216291892814	1.0		82.28502299960782					107.2831161330606	130.40116630711972		18.03225543699601	18.126933575978164	76.06527707269854
1352	20.066989309086978	452.3349320543565			17.02876060169692	47.88869107129225	23.339445438282645	27.04721868803594	13.051465887586582	375.6427588113872		16.319334467372286	15.27475617041203	17.195903364065607		17.43375858684985	21.175227160569364	47.441822587572766	27.440696460741908	14.036107537782382			12.41775112478302		651.5005573353784	18.09089041747373	31.16449129236962	32.415614993514986	15.086767967083397	11.115183395368456		19.296280664413253	602.5948662631776	39.28874056192488	13.13739143728723	19.1381951594275	81.19340758391546	24.49331911181205	519.1987461461042		95.14987960694224	22.18097826608889	17.04208236668779	24.055489238150106	64.30878106727091		15.134485658496354	43.202308478813165		1665.4160215456473	1302.097119913694	1191.1026372155245	20.14642446818		24.259621443752614	56.15750671459445	30.23463002928186	46.381407316383935	22.22310628605239			48.22443142530772	1541.849900255226	48.260740397434766	19.08211437125983	21.19515438872805	453.62553597564374	56.22686580241038	23.96227098842402	37.22472455209713	48.34170389436909	17.236722929907096	44.12297766524251	550.208730602743		1152.777713251717	58.341342543982286	12.1215289740088		284.24028497409324	18.30860183269538		56.470252738748755	33.11936786696216	13.2	32.1791545259503	26.366244805951837		44.38044373288439	77.27792210851048			21.004352821104195	46.24797984963291		36.14108547865118	25.19439094564824	48.43733641249274		15.010662921989956	639.9706469197741	14.148573497498663	28.242184411744876	14.155518807321378	49.27866399840295	5.957577083965675	38.46586007181663	42.091626028932446	1192.2393207884256		1974.4287622977984	19.137920066468553	30.08014030949069	103.5478665998174	11.069204710437168	17.030463469413128	22.155279452492064	16.921651547606057
1353			16.22072076970032		22.99525795668689	59.67399123278923		15.342911293294776				35.74411065536342						41.56644739880623				21.16699000733628	17.593120138947306			17.739923630027466	23.389162537940685	61.71886638425571	12.640821694160474		27.648424933357923				28.30361498075871		87.69820115981298				14.005052894494616	23.769438478398623		60.49650714601531	41.61177515215155			19.08581103046528		21.499704760953502			24.87374557647242			69.5671833650587		13.7273889243706	13.394724951398368						17.145911600689626	18.06724791288593				44.283227775135046			79.77349142925715				40.7840818586757						37.34287230410477	12.54109243098325		39.09725306023946			14.28264841540806	21.051188730507626	21.06434568837089	13.03991366176188	18.14033784470223	23.02890849517326		32.77263572599908		16.025211214363207		34.28666022800734		12.371039947743457					21.79568725177247	33.31512824365937	15.317097682983077					54.466164511740544	12.083742660120016			24.99028267546786
1492																																																																																																																	11.029165340969351					
1496							32.47227191413238			12.28005657708628															30.209635292871905								39.3671424233222						32.340992340992344		119.18592063221742									293.9538697788698	49.40969899665552	182.06321031796705											100.63746901192305				111.57977863449818							19.22813036020583		73.50360614612731				17.319300518134714					32.49230769230769																21.18001773573751								56.372415787190974		14.084054733314716							
1512		21.6378896882494					63.92978533094812			28.653465272210056						11.280667320902849									81.57504699779594								87.76578413769177						85.88980694806554		224.2158095298507									274.40133268044406	181.497902835832	216.69766319725247										11.903961247117184	154.98170214160552				141.71132681132377							109.63338675457142		67.46221404621103				47.882628448095886					59.90759772179151																74.10206362865227					1.522451264585443			119.45564856308675		116.62756564291053							
