feature	Gordonibacter urolithinfaciens-1335613	Bifidobacterium bifidum-1681	Bifidobacterium breve-1685	Bifidobacterium catenulatum-1686	Bifidobacterium longum-216816	Erysipelatoclostridium ramosum-1547	Streptococcus salivarius-1304	Lactobacillus johnsonii-33959	Enterococcus faecalis-1351	Enterococcus faecium-1352	Enterococcus gallinarum-1353	Enterococcus avium-33945	Enterococcus casseliflavus-37734	Enterococcus durans-53345	Enterococcus gilvus-160453	Enterococcus sp. FDAARGOS_375-2060307	Enterococcus sp. FDAARGOS_553-2420313	Enterococcus sp. M190262-2582830	Eubacterium limosum-1736	Anaeromassilibacillus senegalensis-1673717	Neglecta timonensis-1776382	Anaerotruncus rubiinfantis-1720200	Clostridium paraputrificum-29363	Anaerostipes caccae-105841	Anaerostipes rhamnosivorans-1229621	[Ruminococcus] gnavus-33038	Proteus mirabilis-584	Escherichia coli-562	Klebsiella oxytoca-571	Klebsiella pneumoniae-573	Bacteroides fragilis-817
VIVO7-FEC-16S-JUN11_M14	NA	NA	NA	NA	NA	-6.08114152245362	NA	NA	NA	NA	-7.29059488808257	-6.38370429247405	NA	NA	-5.50923517455791	NA	-2.78676915008682	-2.78676915008682	-5.3363985776957	NA	-7.20313204683223	NA	NA	-4.84765139223384	NA	-2.85180303550431	NA	-4.75143607697454	NA	NA	-1.27517983569588
VIVO7-FEC-16S-JUN25_F21	NA	NA	NA	NA	NA	-6.48435299381892	NA	NA	-6.93181197079014	NA	NA	-4.3037807481771	NA	NA	-5.93181197079014	NA	-5.43704727904057	-5.43704727904057	-5.03369158480936	NA	NA	NA	NA	NA	NA	-1.87949093566006	-6.69080387128635	-3.98185265328974	NA	NA	-1.02273712791975
VIVO7-FEC-16S-MAY27_M13	NA	-7.8119679715138	-8.4286393319623	-9.4286393319623	-9.4286393319623	-6.1457053686908	NA	NA	-8.12607656194187	-9.24806708632048	-8.87609830893352	-6.60760947300762	-8.58064242540735	NA	-5.66310458559932	NA	-5.44071216426288	-5.44071216426288	-5.98680177333974	NA	-6.76567431923987	NA	NA	-4.75432934564586	-9.24806708632048	-1.70982108450635	-8.1656049261285	-4.78863546768318	NA	NA	-1.05708046935034
VIVO7-FEC-16S-JUN14_F21	-9.62136509431486	-8.39897267297841	-8.07704457809105	NA	-9.74689597639872	-6.16193347567757	NA	NA	-7.79693665889832	-9.45144009287255	-10.2994369994275	-4.97270791827632	NA	NA	-6.51284063753669	NA	-6.59899728128641	-6.59899728128641	-4.7530569610254	-9.88439950014866	NA	NA	NA	-7.99687422940707	NA	-1.94423274966584	-10.7468959763987	-4.79481660702395	-9.39897267297841	-10.206327595036	-0.821274106689868
VIVO7-FEC-16S-MAY16_M13	NA	-8.5505928897043	-7.04470195997434	-7.00462452059901	NA	-6.80213165670026	NA	NA	-9.38709415742142	-9.49400936133793	NA	-7.15005496012057	NA	NA	-6.07550800675552	NA	-6.89066833130192	-6.89066833130192	-5.38709415742142	NA	-5.73501746084173	NA	NA	-3.94652156603544	-9.10698623822869	-1.89466867662048	NA	-5.8194096481321	NA	NA	-0.901264848719516
VIVO7-FEC-16S-MAY29_F21	NA	NA	-5.75207248655641	NA	NA	NA	NA	NA	NA	NA	NA	-5.83007499855769	NA	NA	-5.14201900487243	NA	NA	NA	-6.09310940439148	NA	NA	NA	NA	-4.79054663437105	NA	-2.37794818054362	NA	NA	NA	NA	-0.530358182760484
VIVO7-FEC-16S-JUL4_M12	NA	NA	NA	NA	NA	-6.5461227588578	NA	NA	NA	-6.86805085374516	-5.73876783680019	-6.78058801249482	NA	NA	-3.53713397563054	NA	-2.67329399932291	-2.67329399932291	-5.0866911402205	NA	-6.62012334030157	NA	NA	-6.01006985861759	NA	-2.81276841824397	NA	-4.69812585230285	NA	NA	-1.65616255919915
VIVO7-FEC-16S-JUN10_F21	NA	NA	-7.75002174699165	NA	NA	-4.80006242949125	NA	NA	-6.40209844357135	NA	NA	-4.68589140957194	NA	NA	-5.9240511467667	NA	-6.25525705524207	-6.25525705524207	-5.03952836418664	NA	NA	NA	NA	NA	NA	-1.66835675027943	NA	-5.25525705524207	-7.62449086490779	NA	-1.02954427561402
VIVO7-FEC-16S-JUL4_M14	-9.06173466385201	-8.11831819221838	-8.67471154074276	NA	NA	-7.3027427633558	NA	NA	-8.23861242593609	-7.20758553031546	-7.40462237737502	-7.14746453787789	NA	NA	-3.4814036118625	NA	-2.51662167573742	-2.52019123229877	-5.19231877366215	NA	-7.17721188127195	NA	-7.80797807160623	-6.78489445849319	NA	-3.58724869949242	-4.98081466846844	-2.44137383311146	NA	NA	-2.4953878412982
VIVO7-FEC-16S-JUL19_F21	NA	-7.7771102405233	-7.54264498688628	NA	NA	-6.37271998544397	NA	NA	-6.91037677138677	-7.10968557961017	NA	-3.29851904360255	NA	NA	-4.64540456131148	NA	-6.0316830676089	-6.0316830676089	-5.48953365042672	NA	NA	NA	NA	-7.00659208664607	NA	-1.91037677138677	NA	-4.93383574421075	-8.54264498688628	NA	-1.12394903728423
