feature	Gordonibacter urolithinfaciens-1335613	Bifidobacterium bifidum-1681	Bifidobacterium breve-1685	Bifidobacterium catenulatum-1686	Bifidobacterium longum-216816	Erysipelatoclostridium ramosum-1547	Lactobacillus johnsonii-33959	Enterococcus faecalis-1351	Enterococcus faecium-1352	Enterococcus gallinarum-1353	Enterococcus avium-33945	Enterococcus casseliflavus-37734	Enterococcus gilvus-160453	Enterococcus sp. FDAARGOS_375-2060307	Enterococcus sp. FDAARGOS_553-2420313	Enterococcus sp. M190262-2582830	Eubacterium limosum-1736	Anaeromassilibacillus senegalensis-1673717	Neglecta timonensis-1776382	Clostridium paraputrificum-29363	Anaerostipes caccae-105841	[Ruminococcus] gnavus-33038	[Clostridium] symbiosum-1512	Escherichia coli-562	Bacteroides fragilis-817
VIVO7-FEC-16S-JUN21_F27	NA	-9.22567092364421	-8.28225445201058	NA	NA	-5.59519376367069	NA	-8.1187557197277	-8.60418254689794	NA	-3.45240489216589	-8.1187557197277	-6.90374282875685	NA	-5.90374282875685	-5.90374282875685	-4.19479161076024	NA	-6.00724740451071	-8.34114814106415	-8.67818312834172	-1.27865221533038	NA	-5.66872279909265	-1.62575808145708
VIVO7-FEC-16S-JUL3_F27	NA	-7.22037832769523	NA	NA	NA	-6.22037832769523	NA	-7.63541582697407	-7.31348773208671	NA	-3.24309840419531	-7.13291548644489	NA	-7.63541582697407	-4.86282632307714	-4.86282632307714	-4.8453388963483	NA	-6.76094670905793	-6.89845023280787	NA	-1.80041814984734	NA	-4.97245081425164	-1.28374038869266
VIVO7-FEC-16S-JUN10_F27	NA	NA	-4.54419855882563	-6.48564637647052	-7.24463827696672	-7.13772307305021	NA	NA	-7.85761515385748	NA	-6.06243494574598	-7.55276057232906	-4.0381873994993	NA	-5.99088168472094	-5.99088168472094	-5.2585774679246	NA	NA	NA	NA	-3.49799476889816	NA	-5.36011549438666	-0.56407588555689
VIVO7-FEC-16S-JUN28_M26	NA	-8.70709361353023	-9.08560523678396	NA	-8.60017840961372	-5.37411033013387	NA	NA	-8.01521590889256	NA	-3.70362975822666	-7.65264582950786	NA	NA	-6.0324939003244	-6.0324939003244	-4.36861434237902	NA	-6.25778621216664	-6.43025340817141	NA	-1.43742744105914	NA	-4.48272082806554	-1.45043129010904
VIVO7-FEC-16S-JUN18_M26	-9.36501007678302	-7.50107162635905	-7.63382683521082	NA	-9.30842654841666	-6.55765515472542	NA	-8.7234640476955	NA	-9.61654884377899	-3.2929042763026	-9.92140342530741	-9.10197567094923	NA	-7.09000302928315	-7.09000302928315	-4.18868730414256	NA	-6.27415664633191	-6.9976390111345	-9.83894126511544	-1.6297587009966	NA	-5.14158752684809	-1.2365516926361
VIVO7-FEC-16S-JUN21_M26	-9.13038669801949	-8.4783100014398	-7.61581352518973	NA	-8.76781661863478	-5.2795301373253	-9.35277911935594	NA	-7.65233940121485	NA	-3.96332703027157	-9.237301901936	-8.85027877882676	NA	-6.98354530969022	-6.98354530969022	-3.98063957851481	NA	-6.54542419729834	-8.68981410663351	NA	-1.9654797713438	NA	-4.86092602302626	-0.985364368109112
VIVO7-FEC-16S-JUN10_M26	NA	NA	-5.00432852122151	-6.57548522241763	-8.2453366207253	-8.38284014447524	NA	NA	-7.45684072591901	NA	-5.77403090179971	NA	-4.53484323792029	NA	-5.32972880801567	-5.32972880801567	-4.41014749047097	NA	-6.75057192897572	NA	NA	-2.90710671350884	NA	-5.87187822519786	-0.669969276785331
VIVO7-FEC-16S-JUL3_M26	NA	NA	NA	NA	NA	-4.97473324138957	NA	NA	-6.36705066416833	NA	-3.84348870811132	NA	NA	NA	-5.46016006855981	-5.46016006855981	-4.68522662419459	NA	-6.49258154625219	-7.25157344674839	NA	-1.81246181249069	NA	-5.30815697511476	-1.07549621832449
VIVO7-FEC-16S-JUN28_F27	NA	-8.14921229279202	-8.22721480479329	NA	NA	-5.84255095455797	NA	NA	-8.49024921062708	NA	-4.1925686619864	-7.49024921062709	NA	NA	-6.61578009271094	-6.61578009271094	-4.69670008809451	NA	-6.6692193516724	-7.35274568687715	NA	-1.61168733807706	NA	-5.23726846945721	-1.04675306392276
VIVO7-FEC-16S-AUG2_M26	NA	-7.85145160918309	-7.54332931382076	NA	NA	-6.24376903196185	NA	-7.54332931382076	-7.6588065312407	NA	-3.7399432939661	-7.1993749126034	-7.92184093707449	-8.78433741332456	-4.06884334946117	-4.06884334946117	-4.14573694900133	NA	-6.31303169439897	-6.26648910846194	NA	-1.71043929965602	NA	-5.51584857739865	-1.51414828840881
