"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"NODE_618_length_2500_cov_5.937423"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.376822925373983	0.660924788104509	0.140072479285908	1.55100927198522e-05	0.00992645934070542	3.10199448767283e-05	0.0148895735408296	NA	"abundance"	60	20
"NODE_560_length_4789_cov_18.278411"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.20443765286023	0.660924788104509	0.415451830475717	0.000153333260116701	0.030028069738646	0.000306643009144745	0.0450378779596618	NA	"abundance"	60	31
"NODE_618_length_2500_cov_5.937423"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.649241450520295	0.499759010635779	0.222923055625697	0.000187675435866538	0.030028069738646	0.000375315649663848	0.0450378779596618	NA	"abundance"	60	20
"NODE_65_length_2561_cov_4.647646"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.62499597092776	0.660924788104509	0.501449855182853	0.000172826694798277	0.030028069738646	0.000345623520530119	0.0450378779596618	NA	"abundance"	60	29
"NODE_345_length_4313_cov_34.753875"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.09025678345732	0.660924788104509	0.477663043691053	0.000858803717046009	0.109926875781889	0.00171686989026761	0.16481950946569	NA	"abundance"	60	48
"NODE_61_length_2911_cov_3.802871"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.97937209025703	0.660924788104509	0.482534436985625	0.00180058575205866	0.154110526981736	0.0035979293950668	0.215875763704008	NA	"abundance"	60	48
"NODE_23_length_41981_cov_14.210705|provirus_5814_25825"	"PrePostFVT"	"Post"	"PrePostFVTPost"	4.84577809813533	0	1.58032842813812	0.00216717928568066	0.154110526981736	0.00216717928568066	0.173374342854453	NA	"prevalence"	60	19
"NODE_267_length_1101_cov_2.931166"	"PrePostFVT"	"During"	"PrePostFVTDuring"	4.02533190771915	0	1.30588722397039	0.00205304304810902	0.154110526981736	0.00410187111046065	0.218766459224568	NA	"prevalence"	60	23
"NODE_574_length_2544_cov_6.745279"	"PrePostFVT"	"During"	"PrePostFVTDuring"	5.16673963147551	0	1.65150950634602	0.00175703856147786	0.154110526981736	0.00351098993844921	0.215875763704008	NA	"prevalence"	60	22
"NODE_50_length_64286_cov_15.837431|provirus_6014_50609"	"PrePostFVT"	"During"	"PrePostFVTDuring"	4.54136638487262	0	1.56842476435397	0.00378560813026476	0.242278920336945	0.0075568854316136	0.32975500065223	NA	"prevalence"	60	20
"NODE_34_length_57407_cov_132.823685"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.980103114202577	0.660924788104509	0.553679394134327	0.00536513575070074	0.2720692207754	0.010701486819778	0.356028236627935	NA	"abundance"	60	50
"NODE_36_length_24676_cov_54.263556"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.85282420874448	0.660924788104509	0.495008031689997	0.00595151420446187	0.2720692207754	0.0118676078875978	0.356028236627935	NA	"abundance"	60	29
"NODE_46_length_17325_cov_94.922409"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-3.511896317438	0	1.27161806573417	0.00574917727696419	0.2720692207754	0.00574917727696419	0.275960509294281	NA	"prevalence"	60	11
"NODE_87_length_8976_cov_56.443896"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.89451743078333	0	0.688509248339829	0.00593008645759204	0.2720692207754	0.0118250069897896	0.356028236627935	NA	"prevalence"	60	31
"NODE_213_length_6728_cov_11.658025"	"PrePostFVT"	"During"	"PrePostFVTDuring"	7.2628453421393e-05	0.499759010635779	0.174931493883859	0.00871277446701722	0.31512602170551	0.0173496364951213	0.44582620752871	NA	"abundance"	60	59
"NODE_6_length_52607_cov_9.933057|provirus_1_41423"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.304833625795725	0.660924788104509	0.341444855717504	0.00834194296928559	0.31512602170551	0.00834194296928559	0.333677718771423	NA	"abundance"	60	60
"NODE_222_length_1353_cov_3.577042"	"PrePostFVT"	"During"	"PrePostFVTDuring"	2.73081306186267	0	1.04337149504564	0.00886291936046746	0.31512602170551	0.0176472873813448	0.44582620752871	NA	"prevalence"	60	26
"NODE_87_length_8976_cov_56.443896"	"PrePostFVT"	"During"	"PrePostFVTDuring"	3.19849395049636	0	1.21003235992118	0.00820991652321539	0.31512602170551	0.0163524303171126	0.44582620752871	NA	"prevalence"	60	31
"NODE_353_length_2871_cov_5.285156"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.2821722198848	0.660924788104509	0.338689274555803	0.00936490438333678	0.315449410807134	0.00936490438333678	0.345781084923204	NA	"abundance"	60	60
"NODE_683_length_3765_cov_14.952830"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.76421427154666	0	1.09404335660624	0.0115171297952222	0.36854815344711	0.0229016153117244	0.549638767481386	NA	"prevalence"	60	20
"NODE_560_length_4789_cov_18.278411"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.786976560828645	0.499759010635779	0.480866701908329	0.0131591124066861	0.401039616203766	0.0261450625740404	0.570437728888153	NA	"abundance"	60	31
"NODE_574_length_2544_cov_6.745279"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.80011403955533	0	1.14980286206675	0.0148794787688334	0.432857564184245	0.0295375586492347	0.590751172984693	NA	"prevalence"	60	22
"NODE_213_length_6728_cov_11.658025"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.297991539725222	0.660924788104509	0.125086691492519	0.0177075297429319	0.492731262412018	0.035101502876267	0.673948855224325	NA	"abundance"	60	59
"NODE_50_length_64286_cov_15.837431|provirus_6014_50609"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.7186761915999	0	1.16067738197934	0.0191643488246041	0.511049301989442	0.0379614253833371	0.7008263147693	NA	"prevalence"	60	20
"NODE_101_length_4575_cov_7.278097"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.73642871274663	0	1.22568782798257	0.0255775922523609	0.584630680053963	0.0255775922523609	0.570437728888153	NA	"prevalence"	60	16
"NODE_177_length_5120_cov_13.319842"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.8131816887197	0	0.805524576023853	0.0243897939711731	0.584630680053963	0.0481847258923899	0.724116907235282	NA	"prevalence"	60	42
"NODE_267_length_1101_cov_2.931166"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.87178975365093	0	0.837804661543296	0.0254725401537277	0.584630680053963	0.0502962300055721	0.731581527353776	NA	"prevalence"	60	23
"NODE_683_length_3765_cov_14.952830"	"PrePostFVT"	"During"	"PrePostFVTDuring"	2.83321699515287	0	1.24853463550584	0.0232541118571298	0.584630680053963	0.0459674699959958	0.724116907235282	NA	"prevalence"	60	20
"NODE_82_length_5911_cov_4.870902"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.67592518582468	0	1.21404090732675	0.0275139751424169	0.607204968660234	0.0275139751424169	0.574204698624352	NA	"prevalence"	60	13
"NODE_1112_length_1822_cov_14.345218"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.91059407153277	0.660924788104509	0.559068392266855	0.0317044264293175	0.654542997250425	0.0624036822034229	0.809561282639	NA	"abundance"	60	10
"NODE_132_length_23877_cov_12.972546"	"PrePostFVT"	"During"	"PrePostFVTDuring"	2.61057395104403	0	1.21515711789441	0.0316865393276599	0.654542997250425	0.0623690418807565	0.809561282639	NA	"prevalence"	60	29
"NODE_222_length_1353_cov_3.577042"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.58574673676983	0	0.75078091897342	0.0346753193907583	0.693506387815166	0.0681482610066655	0.829143671176028	NA	"prevalence"	60	26
"NODE_222_length_1353_cov_3.577042"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.503825942852982	0.660924788104509	0.515893620022644	0.037460367348326	0.72650409402814	0.0681482610066655	0.829143671176028	NA	"abundance"	60	26
"NODE_85_length_6973_cov_5.469066"	"PrePostFVT"	"During"	"PrePostFVTDuring"	2.63442209615501	0	1.28181230753467	0.0398565697935083	0.750241313760156	0.0398565697935083	0.708561240773481	NA	"prevalence"	60	10
"NODE_101_length_4575_cov_7.278097"	"PrePostFVT"	"During"	"PrePostFVTDuring"	4.72053349073797	0	2.33542261183593	0.0432512103219285	0.77505859507443	0.0432512103219285	0.721606278172745	NA	"prevalence"	60	16
"NODE_46_length_10952_cov_58.511425"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-5.09951330490597	0	2.5270830818956	0.0435970459729367	0.77505859507443	0.0435970459729367	0.721606278172745	NA	"prevalence"	60	17
"NODE_175_length_2545_cov_8.803614"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.65219972894882	0.660924788104509	0.434626535584167	0.0495010047481461	0.787597464139173	0.0965516600252163	1	NA	"abundance"	60	17
"NODE_177_length_5120_cov_13.319842"	"PrePostFVT"	"During"	"PrePostFVTDuring"	1.38383248875561	0.499759010635779	0.433619835045124	0.0504554625464158	0.787597464139173	0.0983651713920587	1	NA	"abundance"	60	42
"NODE_95_length_4885_cov_5.471014"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.507693132726585	0.660924788104509	0.536056844470543	0.0463383322466967	0.787597464139173	0.0905294234579882	1	NA	"abundance"	60	22
"NODE_23_length_41981_cov_14.210705|provirus_5814_25825"	"PrePostFVT"	"During"	"PrePostFVTDuring"	5.64959157437781	0	2.86063325981901	0.0482744604823521	0.787597464139173	0.0482744604823521	0.724116907235282	NA	"prevalence"	60	19
"NODE_560_length_4789_cov_18.278411"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.40536823765649	0	0.713258904084434	0.0487985036004323	0.787597464139173	0.000306643009144745	0.0450378779596618	NA	"prevalence"	60	31
"NODE_43_length_3040_cov_4.376884"	"PrePostFVT"	"Post"	"PrePostFVTPost"	3.63793772270912	0	1.89812980976945	0.0552899650391599	0.82292040988517	0.0552899650391599	0.780564212317551	NA	"prevalence"	60	14
"NODE_560_length_4789_cov_18.278411"	"PrePostFVT"	"During"	"PrePostFVTDuring"	2.05442166647379	0	1.06789122510755	0.0543781864405555	0.82292040988517	0.0261450625740404	0.570437728888153	NA	"prevalence"	60	31
"NODE_65_length_2561_cov_4.647646"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.680957418434256	0.499759010635779	0.587568817275708	0.057994121852962	0.824805288575459	0.112624925536428	1	NA	"abundance"	60	29
"NODE_584_length_2507_cov_6.861338"	"PrePostFVT"	"Post"	"PrePostFVTPost"	3.63489422752208	0	1.90964756282646	0.0569835196543589	0.824805288575459	0.0569835196543589	0.781488269545494	NA	"prevalence"	60	15
"NODE_175_length_2545_cov_8.803614"	"PrePostFVT"	"During"	"PrePostFVTDuring"	1.73891127563861	0	0.934162590627916	0.0626784921680348	0.86634227917783	0.121428390955611	1	NA	"prevalence"	60	17
"NODE_45_length_21147_cov_17.779585"	"PrePostFVT"	"During"	"PrePostFVTDuring"	2.19418379968016	0	1.18296353815224	0.0636220111271219	0.86634227917783	0.123196261954384	1	NA	"prevalence"	60	32
"NODE_64_length_3411_cov_6.318534"	"PrePostFVT"	"During"	"PrePostFVTDuring"	1.43467117507363	0.499759010635779	0.489486211571025	0.0676670381087498	0.90222717478333	0.0676670381087498	0.829143671176028	NA	"abundance"	60	33
"NODE_43_length_3040_cov_4.376884"	"PrePostFVT"	"During"	"PrePostFVTDuring"	3.62682819010189	0	1.99517879313687	0.0690953059313356	0.902469301960302	0.0690953059313356	0.829143671176028	NA	"prevalence"	60	14
"NODE_38_length_40434_cov_66.147750"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.133593798344134	0.660924788104509	0.423908869757428	0.072116421916261	0.904990392674648	0.139032065522518	1	NA	"abundance"	60	46
"NODE_584_length_2507_cov_6.861338"	"PrePostFVT"	"During"	"PrePostFVTDuring"	3.61720912460437	0	2.00797064946106	0.0716358718197042	0.904990392674648	0.0716358718197042	0.838663865206293	NA	"prevalence"	60	15
"NODE_325_length_3998_cov_5.391326"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.07925392947553	0	1.16487937191597	0.0742690800289154	0.914080984971266	0.143022263809489	1	NA	"prevalence"	60	55
"NODE_1058_length_1702_cov_11.257438"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.0738855630135144	0.499759010635779	1.52270424511508	0.789186009550283	1	0.925527632106951	1	NA	"abundance"	60	11
"NODE_1058_length_1702_cov_11.257438"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.141795331705256	0.660924788104509	0.963042723474193	0.436553894660479	1	0.682528486377725	1	NA	"abundance"	60	11
"NODE_11_length_39896_cov_9.556763"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.331206504156351	0.499759010635779	0.621624386113122	0.78989393699566	1	0.458012580742668	1	NA	"abundance"	60	24
"NODE_11_length_39896_cov_9.556763"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.194043389573278	0.660924788104509	0.658902953084183	0.515432748247132	1	0.765194578528673	1	NA	"abundance"	60	24
