feature	NODE_149_length_1341_cov_4.596423	NODE_158_length_5208_cov_16.826121	NODE_244_length_1884_cov_3.414434	NODE_250_length_3884_cov_34.956385	NODE_345_length_4313_cov_34.753875	NODE_34_length_57407_cov_132.823685	NODE_36_length_24676_cov_54.263556	NODE_560_length_4789_cov_18.278411	NODE_64_length_16604_cov_16.296695	NODE_71_length_2451_cov_4.832220	NODE_80_length_3898_cov_3.087952	NODE_118_length_14212_cov_7.809423	NODE_119_length_6127_cov_11.754282	NODE_120_length_4708_cov_5.977649	NODE_122_length_9714_cov_6.792939	NODE_125_length_3140_cov_7.146191	NODE_128_length_6828_cov_9.355825	NODE_139_length_11886_cov_12.290001	NODE_148_length_1529_cov_3.214383	NODE_151_length_11622_cov_6.802715	NODE_153_length_12400_cov_9.887809	NODE_177_length_3368_cov_6.261093	NODE_177_length_6844_cov_8.175725	NODE_178_length_5905_cov_7.559658	NODE_190_length_3286_cov_3.972764	NODE_197_length_4114_cov_4.814240	NODE_213_length_6728_cov_11.658025	NODE_229_length_4253_cov_7.022868	NODE_232_length_3859_cov_5.182177	NODE_233_length_5621_cov_11.496407	NODE_241_length_6412_cov_5.785433	NODE_254_length_4664_cov_6.991972	NODE_262_length_4295_cov_8.188443	NODE_267_length_4368_cov_4.549038	NODE_269_length_5610_cov_6.458146	NODE_273_length_5592_cov_9.036662	NODE_275_length_3206_cov_5.058077	NODE_278_length_4850_cov_6.859437	NODE_288_length_3117_cov_4.919334	NODE_305_length_3981_cov_5.865003	NODE_323_length_4578_cov_5.801017	NODE_324_length_2965_cov_3.493471	NODE_325_length_3998_cov_5.391326	NODE_343_length_4498_cov_9.510241	NODE_343_length_5040_cov_8.169910	NODE_353_length_2871_cov_5.285156	NODE_366_length_3628_cov_5.400784	NODE_367_length_3982_cov_6.343519	NODE_41_length_39188_cov_6.935476	NODE_427_length_2990_cov_4.285179	NODE_428_length_2744_cov_4.066567	NODE_449_length_3548_cov_7.859147	NODE_457_length_3322_cov_6.401286	NODE_468_length_3043_cov_5.770080	NODE_469_length_2568_cov_8.139276	NODE_48_length_39392_cov_13.718484	NODE_498_length_2945_cov_4.607612	NODE_500_length_2986_cov_4.587172	NODE_503_length_2600_cov_5.917092	NODE_51_length_4179_cov_5.019641	NODE_536_length_2797_cov_5.823851	NODE_58_length_8379_cov_10.701225	NODE_610_length_2856_cov_7.730096	NODE_618_length_2500_cov_5.937423	NODE_6_length_52607_cov_9.933057|provirus_1_41423	NODE_77_length_21821_cov_12.298861	NODE_796_length_2326_cov_4.740643	NODE_86_length_11713_cov_9.597701	NODE_89_length_20874_cov_10.217782|provirus_3_14193	NODE_92_length_5324_cov_4.625546	NODE_95_length_6809_cov_5.090613	NODE_1002_length_2557_cov_4.365308	NODE_101_length_4575_cov_7.278097	NODE_113_length_10116_cov_5.796044	NODE_132_length_1293_cov_2.933764	NODE_192_length_7497_cov_5.865493	NODE_38_length_40434_cov_66.147750	NODE_42_length_32475_cov_10.695774	NODE_42_length_36164_cov_8.737212	NODE_43_length_3040_cov_4.376884	NODE_52_length_35146_cov_146.477501	NODE_612_length_3670_cov_4.402490	NODE_61_length_2911_cov_3.802871	NODE_1177_length_1098_cov_3.402685	NODE_222_length_1353_cov_3.577042	NODE_40_length_5207_cov_6.427601	NODE_45_length_21147_cov_17.779585	NODE_65_length_2561_cov_4.647646	NODE_95_length_4885_cov_5.471014	NODE_177_length_5120_cov_13.319842	NODE_245_length_2989_cov_21.227676	NODE_175_length_8062_cov_4.755589	NODE_25_length_41950_cov_8.418546	NODE_39_length_18186_cov_5.820032|provirus_3_8483	NODE_407_length_6756_cov_5.908073	NODE_411_length_6617_cov_5.361932	NODE_54_length_34912_cov_29.430989	NODE_86_length_2103_cov_4.534668	NODE_925_length_2493_cov_15.062756	NODE_267_length_1101_cov_2.931166	NODE_574_length_2544_cov_6.745279	NODE_655_length_3520_cov_3.797114	NODE_74_length_2302_cov_3.058300	NODE_1058_length_1702_cov_11.257438	NODE_1112_length_1822_cov_14.345218	NODE_132_length_23877_cov_12.972546	NODE_159_length_14466_cov_7.447367	NODE_175_length_2545_cov_8.803614	NODE_245_length_4271_cov_6.865038	NODE_273_length_3857_cov_5.688059	NODE_292_length_9196_cov_7.239689	NODE_293_length_1673_cov_2.770705	NODE_40_length_6349_cov_5.400381	NODE_50_length_64286_cov_15.837431|provirus_6014_50609	NODE_516_length_2143_cov_4.660441	NODE_52_length_3512_cov_4.416546	NODE_584_length_2507_cov_6.861338	NODE_609_length_1276_cov_3.526618	NODE_60_length_2998_cov_5.003058	NODE_632_length_4491_cov_6.169973	NODE_636_length_4461_cov_3.897413	NODE_638_length_3566_cov_3.047565	NODE_649_length_3541_cov_5.194205	NODE_64_length_3411_cov_6.318534	NODE_683_length_3765_cov_14.952830	NODE_718_length_3957_cov_7.268324	NODE_788_length_3026_cov_16.785594	NODE_90_length_6946_cov_17.086490	NODE_26_length_40087_cov_66.732839	NODE_475_length_2865_cov_5.508185	NODE_87_length_8976_cov_56.443896	NODE_596_length_3718_cov_2.839476	NODE_138_length_9014_cov_6.055698	NODE_25_length_64430_cov_10.074175	NODE_39_length_40881_cov_40.497820	NODE_36_length_49500_cov_28.060916	NODE_288_length_2524_cov_4.504253	NODE_300_length_3718_cov_3.746929	NODE_684_length_1350_cov_2.419305	NODE_720_length_1472_cov_2.302047	NODE_82_length_5911_cov_4.870902	NODE_1604_length_1116_cov_1.593779	NODE_181_length_2892_cov_40.830455	NODE_24_length_29177_cov_10.095976	NODE_90_length_8128_cov_40.375945	NODE_142_length_3949_cov_4.543657	NODE_217_length_2444_cov_4.637505	NODE_225_length_2373_cov_13.590164	NODE_67_length_2568_cov_2.207322	NODE_85_length_6973_cov_5.469066	NODE_111_length_5691_cov_7.167495	NODE_187_length_2850_cov_5.341324	NODE_30_length_34336_cov_218.813629	NODE_33_length_19553_cov_14.475280	NODE_39_length_11018_cov_5.964973	NODE_43_length_7522_cov_4.368823	NODE_44_length_6078_cov_6.900714	NODE_76_length_10931_cov_8.148676	NODE_147_length_3367_cov_3.467089	NODE_250_length_2172_cov_5.605102	NODE_375_length_1379_cov_2.361027	NODE_390_length_2119_cov_3.486919	NODE_479_length_1248_cov_2.093881	NODE_72_length_5193_cov_3.367653	NODE_95_length_4316_cov_6.475006	NODE_99_length_2870_cov_2.821314	NODE_42_length_6821_cov_9.625628	NODE_159_length_3508_cov_4.616276	NODE_1137_length_1786_cov_5.545350	NODE_129_length_9271_cov_6.849284	NODE_242_length_11721_cov_8.904937
VIVO7_FEC_VLP_AUG2_F27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.65463602852797	-6.23959852924912	-5.91767043436176	-5.48471102708566	-5.91767043436176	-5.65463602852797	-5.99167101580554	-5.99167101580554	-5.53915881110803	-5.5957423394744	-6.23959852924912	-5.06967352780681	-6.65463602852797	-5.91767043436176	-6.53915881110803	-6.06967352780681	-6.65463602852797	-5.65463602852797	-5.53915881110803	-5.71603657319211	-5.91767043436176	-6.53915881110803	-5.78016691061183	-5.78016691061183	-5.91767043436176	-4.23959852924912	-7.43224360719152	-6.06967352780681	-6.78016691061183	-7.43224360719152	-6.43224360719152	-7.91767043436176	-4.65463602852797	-5.91767043436176	-6.43224360719152	-5.65463602852797	-7.23959852924912	-6.53915881110803	-5.78016691061183	-6.23959852924912	-6.53915881110803	-7.23959852924912	-5.03014516362017	-6.78016691061183	-6.91767043436176	-5.91767043436176	-6.3327079336406	-5.65463602852797	-6.65463602852797	-6.3327079336406	-5.23959852924912	-5.91767043436176	-5.65463602852797	-5.43224360719152	-5.78016691061183	-4.84728110647036	-5.65463602852797	-6.53915881110803	-6.91767043436176	-6.3327079336406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.23959852924912	-9.23959852924912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VIVO7_FEC_VLP_AUG2_F28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.70217268536555	-6.24274106672825	-6.11721018464439	-5.45424517192196	-6.00173296722446	-5.79528208975703	-5.89481776330794	-6.53224768392324	-5.53224768392324	-5.53224768392324	-6.38024459047818	-5.05831649559082	-6.53224768392324	-6.00173296722446	-6.38024459047818	-6.00173296722446	-6.53224768392324	-5.79528208975703	-5.70217268536555	-5.61470984411521	-6.11721018464439	-6.53224768392324	-5.53224768392324	-5.70217268536555	-5.70217268536555	-4.17861072930853	-7.38024459047818	-6.11721018464439	-6.70217268536555	-7.38024459047818	-6.38024459047818	-7.70217268536555	-4.84419169023798	-5.89481776330794	-6.53224768392324	-5.70217268536555	-7.38024459047818	-6.53224768392324	-5.61470984411521	-6.11721018464439	-6.24274106672825	-7.11721018464439	-5.17861072930853	-7.11721018464439	-6.89481776330794	-5.79528208975703	-6.38024459047818	-5.61470984411521	-6.24274106672825	-6.11721018464439	-5.17861072930853	-5.89481776330794	-5.70217268536555	-5.30985526258679	-5.79528208975703	-4.94728518320208	-5.61470984411521	-6.38024459047818	-6.89481776330794	-6.24274106672825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VIVO7_FEC_VLP_AUG2_F29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.38430688003905	-5.74448244428337	-5.48864353985378	-5.66082451523646	-6.64064663329883	-5.54378509404625	-5.90368103913263	-5.41825421196239	-6.90368103913263	-5.83329171124123	-5.81057163474115	-5.81057163474115	-6.19586179062594	-5.83329171124123	-6.38430688003905	-6.6011182691122	-5.47072163185652	-6.08265118017795	-6.11013191660005	-5.6011182691122	-6.08265118017795	-6.08265118017795	-5.64064663329883	-6.6011182691122	-5.50679088656404	-5.90368103913263	-6.08265118017795	-5.58175294424527	-5.25598278306351	-7.05568413257768	-5.54378509404625	-6.56264412129756	-5.76617751538269	-6.90368103913263	-5.95259063961357	-5.72310879349081	-6.48864353985378	-6.5251694158789	-5.85637532435427	-6.48864353985378	-5.87983429717826	-6.25598278306351	-6.81057163474115	-6.08265118017795	-6.35114001610385	-5.70204717796298	-6.25598278306351	-5.66082451523646	-6.31871853841147	-5.74448244428337	-6.11013191660005	-5.47072163185652	-6.90368103913263	-5.09632611707502	-5.6011182691122	-6.00321671268354	-5.62074707586113	-5.58175294424527	-6.02921192121649	-5.95259063961357	-10.8105716347411	NA	NA	-11.8105716347411	-10.8105716347411	-10.22560913402	NA	NA	-9.00321671268354	NA	-9.81057163474115	NA	NA	-10.22560913402	-10.22560913402	NA	NA	NA	-10.22560913402	NA	-10.8105716347411	-9.81057163474115	-10.22560913402	-10.8105716347411	-10.8105716347411	-9.81057163474115	-9.48864353985378	-9.81057163474115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VIVO7_FEC_VLP_AUG2_M25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.70547530803839	-6.35755200461808	-5.99498192523338	-5.52105073690096	-5.77258950389693	-5.70547530803839	-5.99498192523338	-6.84297883178833	-5.4644672085346	-5.52105073690096	-6.07744408542535	-4.87950470781344	-6.57994442595453	-5.9169794132321	-6.70547530803839	-5.84297883178833	-6.57994442595453	-5.77258950389693	-5.57994442595453	-5.77258950389693	-5.9169794132321	-6.57994442595453	-5.9169794132321	-5.64134497061868	-5.70547530803839	-4.12051280731723	-7.57994442595453	-6.07744408542535	-7.16490692667569	-7.16490692667569	-6.35755200461808	-7.84297883178833	-4.73864217197359	-5.84297883178833	-7.35755200461808	-5.52105073690096	-7.57994442595453	-6.4644672085346	-5.64134497061868	-6.25801633106717	-6.25801633106717	-7.84297883178833	-5.03562390973072	-6.57994442595453	-6.84297883178833	-5.9169794132321	-6.25801633106717	-5.64134497061868	-6.35755200461808	-6.16490692667569	-5.07744408542535	-5.84297883178833	-5.52105073690096	-6.35755200461808	-5.84297883178833	-4.67305383034601	-5.64134497061868	-6.70547530803839	-7.16490692667569	-6.16490692667569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VIVO7_FEC_VLP_AUG2_M26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.39993060688864	-6.56985560833095	-5.98489310760979	-5.39993060688864	-5.56985560833095	-5.76250068627334	-5.98489310760979	-6.56985560833095	-5.24792751344359	-5.39993060688864	-5.98489310760979	-4.66296501272243	-6.56985560833095	-5.98489310760979	-6.98489310760979	-5.98489310760979	-6.98489310760979	-5.39993060688864	-5.76250068627334	-5.56985560833095	-5.76250068627334	-6.98489310760979	-5.76250068627334	-5.39993060688864	-5.76250068627334	-3.92599941855622	NA	-5.98489310760979	-7.56985560833095	NA	-5.98489310760979	NA	-4.56985560833095	-5.56985560833095	NA	-5.56985560833095	NA	-6.24792751344359	-5.56985560833095	-6.24792751344359	-6.24792751344359	NA	-4.66296501272243	-6.56985560833095	-6.98489310760979	-5.76250068627334	-6.24792751344359	-5.24792751344359	-6.56985560833095	-6.24792751344359	-4.98489310760979	-5.98489310760979	NA	-6.56985560833095	-5.76250068627334	-4.66296501272243	-5.56985560833095	-6.56985560833095	NA	-6.24792751344359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VIVO7_FEC_VLP_JUL3_F27	NA	NA	NA	NA	-7.75822321472672	-6.25572287419754	-7.75822321472672	-8.34318571544788	NA	NA	NA	-6.34318571544788	-5.95086829266912	-5.58829821328441	-5.64274599730679	-6.53583079339028	-5.81962375939087	-6.17326071400557	-5.75822321472672	-6.53583079339028	-5.81962375939087	-6.02125762056052	-5.58829821328441	-6.53583079339028	-5.81962375939087	-6.43629511983936	-6.25572287419754	-5.69932952567316	-6.02125762056052	-6.02125762056052	-5.69932952567316	-6.0952582020043	-6.17326071400557	-5.75822321472672	-6.34318571544788	-5.69932952567316	-5.64274599730679	-6.43629511983936	-5.95086829266912	-5.58829821328441	-7.34318571544788	-5.95086829266912	-7.34318571544788	-5.75822321472672	-6.53583079339028	-5.25572287419754	-5.75822321472672	-6.64274599730679	-6.53583079339028	-5.88375409681058	-6.64274599730679	-6.0952582020043	-6.88375409681058	-6.34318571544788	-6.34318571544788	-6.64274599730679	-5.75822321472672	-6.64274599730679	-5.75822321472672	-6.64274599730679	-5.69932952567316	-6.0952582020043	-5.69932952567316	NA	-4.25572287419754	-5.69932952567316	-5.69932952567316	-5.75822321472672	-5.88375409681058	-6.34318571544788	-6.17326071400557	NA	NA	NA	NA	NA	-7.75822321472672	NA	NA	NA	NA	NA	-8.02125762056052	NA	NA	NA	NA	-8.02125762056052	NA	-7.34318571544788	-7.75822321472672	NA	NA	NA	NA	NA	NA	NA	NA	-9.34318571544788	NA	NA	NA	NA	NA	NA	NA	NA	-9.34318571544788	NA	NA	NA	NA	-9.34318571544788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.34318571544788	-10.3431857154479	NA	NA	-7.75822321472672	-9.34318571544788	-8.02125762056052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VIVO7_FEC_VLP_JUL3_F28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.9870609442925	-5.9870609442925	-5.62449086490779	-5.33498424771281	-6.47248777146274	-5.62449086490779	-5.9870609442925	-6.20945336562895	-5.79441586635011	-5.62449086490779	-5.79441586635011	-5.09397614820901	-6.47248777146274	-5.79441586635011	-6.20945336562895	-5.79441586635011	-6.20945336562895	-5.62449086490779	-5.62449086490779	-5.62449086490779	-5.62449086490779	-6.47248777146274	-5.62449086490779	-5.79441586635011	-5.47248777146274	-4.62449086490779	-7.20945336562895	-6.20945336562895	-6.47248777146274	NA	-5.79441586635011	NA	-5.09397614820901	-5.79441586635011	-7.20945336562895	-5.33498424771281	-7.20945336562895	-6.47248777146274	-5.79441586635011	-6.47248777146274	-6.20945336562895	-6.79441586635011	-5.33498424771281	NA	-6.79441586635011	-5.62449086490779	-6.20945336562895	-5.47248777146274	-6.79441586635011	-5.79441586635011	-5.47248777146274	-5.9870609442925	NA	-5.79441586635011	-5.79441586635011	-5.33498424771281	-5.47248777146274	-6.20945336562895	-6.79441586635011	-5.9870609442925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.20945336562895	-7.79441586635011	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.79441586635011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.79441586635011	-7.20945336562895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VIVO7_FEC_VLP_JUL3_F29	NA	NA	NA	NA	-8.9469062744564	-8.36194377373524	-9.36194377373524	-8.62497817956904	NA	NA	NA	-5.73745290882745	-6.30305008468167	-5.85944343320606	-5.45505317812672	-6.04001567884788	-5.85944343320606	-6.13955135239879	-6.13955135239879	-5.73745290882745	-5.5206415197543	-6.08892527932883	-5.01616893689351	-6.62497817956904	-6.04001567884788	-6.85944343320606	-6.04001567884788	-6.55458885167764	-5.69897876101281	-5.66150405559415	-5.62497817956904	-6.04001567884788	-6.36194377373524	-5.73745290882745	-5.73745290882745	-5.81762325751143	-4.50396277860767	-7.36194377373524	-6.13955135239879	-7.04001567884788	-7.04001567884788	-6.04001567884788	-7.62497817956904	-4.85944343320606	-5.9469062744564	-6.62497817956904	-5.58935426983831	-7.36194377373524	-6.4874746558191	-5.66150405559415	-6.36194377373524	-6.42334431839938	-7.36194377373524	-5.39231742277876	-6.77698127301409	-6.9469062744564	-5.90251215509794	-6.36194377373524	-5.5206415197543	-6.36194377373524	-6.24646655631531	-5.2744809324849	-5.9469062744564	NA	-5.62497817956904	-5.81762325751143	-4.92453846142794	-5.58935426983831	-6.55458885167764	-6.9469062744564	-6.19201877229293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.36194377373524	NA	-7.4874746558191	-8.9469062744564	NA	NA	NA	NA	NA	NA	NA	NA	-8.9469062744564	-8.36194377373524	NA	NA	NA	NA	NA	NA	NA	-8.62497817956904	-9.36194377373524	NA	-9.36194377373524	NA	-8.9469062744564	NA	NA	-8.36194377373524	NA	NA	NA	NA	NA	NA	NA	-7.9469062744564	-8.62497817956904	NA	NA	NA	-8.9469062744564	-8.9469062744564	-8.62497817956904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VIVO7_FEC_VLP_JUL3_M25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.83058722829532	-5.96809075204526	-5.70505634621146	-5.3831282513241	-6.12009384549031	-5.58957912879153	-5.96809075204526	-6.12009384549031	-5.83058722829532	-5.48266392487501	-5.83058722829532	-5.12009384549031	-6.12009384549031	-5.58957912879153	-6.29001884693262	-6.48266392487501	-6.48266392487501	-5.58957912879153	-5.83058722829532	-5.58957912879153	-5.83058722829532	-6.48266392487501	-5.83058722829532	-5.83058722829532	-5.58957912879153	-4.64616265715789	-6.96809075204526	-5.83058722829532	-6.29001884693262	-6.96809075204526	-5.96809075204526	-7.29001884693262	-4.89770142415386	-5.96809075204526	-6.70505634621146	-5.48266392487501	-7.29001884693262	-6.48266392487501	-5.70505634621146	-6.12009384549031	-6.12009384549031	-6.70505634621146	-5.48266392487501	-6.48266392487501	-6.48266392487501	-5.83058722829532	-6.29001884693262	-5.3831282513241	-6.70505634621146	-5.96809075204526	-5.29001884693262	-5.70505634621146	NA	-6.12009384549031	-5.58957912879153	-5.12009384549031	-5.58957912879153	-6.29001884693262	-6.70505634621146	-5.96809075204526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VIVO7_FEC_VLP_JUL3_M26	NA	NA	NA	NA	-8.00674683244059	-6.52132000527034	NA	-8.74371242660679	NA	NA	NA	-6.24121208607761	-6.08074741388436	-5.74371242660679	-5.74371242660679	-6.52132000527034	-5.74371242660679	-6.15874992588564	-5.80511297127093	-6.24121208607761	-5.86924330869065	-6.15874992588564	-5.57378742516448	-6.42178433171943	-5.93635750454919	-6.52132000527034	-6.32867492732795	-5.93635750454919	-6.15874992588564	-5.93635750454919	-5.80511297127093	-6.15874992588564	-6.32867492732795	-5.80511297127093	-6.32867492732795	-5.80511297127093	-5.42178433171943	-6.52132000527034	-5.86924330869065	-5.80511297127093	-7.52132000527034	-5.86924330869065	-7.15874992588564	-5.74371242660679	-6.52132000527034	-4.97112292270986	-5.86924330869065	-7.00674683244058	-6.62823520918686	-6.00674683244058	-6.42178433171943	-6.08074741388436	-7.00674683244058	-6.24121208607761	-6.42178433171943	-6.74371242660679	-5.68481873755322	-6.42178433171943	-5.93635750454919	-6.32867492732795	-5.93635750454919	-5.80511297127093	-5.52132000527034	-6.74371242660679	-3.86924330869065	-5.68481873755322	-5.80511297127093	-5.80511297127093	-6.00674683244058	-6.42178433171943	-6.32867492732795	NA	NA	NA	NA	NA	-8.32867492732795	NA	NA	NA	NA	NA	-7.74371242660679	NA	NA	NA	NA	NA	NA	-7.74371242660679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.32867492732795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.32867492732795	NA	NA	NA	-7.15874992588564	NA	-8.00674683244059	NA	-9.32867492732795	-9.32867492732795	-8.32867492732795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
