date,day,sex,animal,cage,dam,weight,length_body,length_tail,date_of_birth,group
2024-04-30,7,,,BP1,2,3.4,,,2024-04-23,1
2024-04-30,7,,,BP1,2,3.6,,,2024-04-23,1
2024-04-30,7,,,BP1,2,3.2,,,2024-04-23,1
2024-04-30,7,,,BP1,2,3.4,,,2024-04-23,1
2024-04-30,7,,,BP1,2,3.1,,,2024-04-23,1
2024-05-02,9,Male,,BP1,2,3.7,,,2024-04-23,1
2024-05-02,9,Male,,BP1,2,3.9,,,2024-04-23,1
2024-05-02,9,Male,,BP1,2,3.7,,,2024-04-23,1
2024-05-02,9,Female,,BP1,2,3.8,,,2024-04-23,1
2024-05-02,9,Female,,BP1,2,3.5,,,2024-04-23,1
2024-05-06,13,Male,,BP1,2,4.5,,,2024-04-23,1
2024-05-06,13,Male,,BP1,2,4.8,,,2024-04-23,1
2024-05-06,13,Male,,BP1,2,4.7,,,2024-04-23,1
2024-05-06,13,Female,,BP1,2,4.6,,,2024-04-23,1
2024-05-06,13,Female,,BP1,2,4.6,,,2024-04-23,1
2024-05-09,16,Male,,BP1,2,5,,,2024-04-23,1
2024-05-09,16,Male,,BP1,2,5.3,,,2024-04-23,1
2024-05-09,16,Male,,BP1,2,4.8,,,2024-04-23,1
2024-05-09,16,Female,,BP1,2,4.9,,,2024-04-23,1
2024-05-09,16,Female,,BP1,2,4.9,,,2024-04-23,1
2024-05-13,20,Male,,BP1,2,6,55,42,2024-04-23,1
2024-05-13,20,Male,,BP1,2,6.5,56,43,2024-04-23,1
2024-05-13,20,Male,,BP1,2,5.9,52,42,2024-04-23,1
2024-05-13,20,Female,,BP1,2,6,54,41,2024-04-23,1
2024-05-13,20,Female,,BP1,2,5.8,51,40,2024-04-23,1
2024-05-16,23,Male,12,BP1,2,7,58,50,2024-04-23,1
2024-05-16,23,Male,13,BP1,2,7.2,62,49,2024-04-23,1
2024-05-16,23,Male,14,BP1,2,7.5,63,52,2024-04-23,1
2024-05-16,23,Female,15,BP1,2,7.1,62,47,2024-04-23,1
2024-05-16,23,Female,16,BP1,2,7.1,59,45,2024-04-23,1
2024-05-21,28,Male,12,BP1,2,9.7,63,53,2024-04-23,1
2024-05-21,28,Male,13,BP1,2,10.1,63,51,2024-04-23,1
