SampleName,sum_len
VIVO7_FEC_VLP_APR16_F11,"3,525,749"
VIVO7_FEC_VLP_APR16_F11,"3,737,777"
VIVO7_FEC_VLP_APR16_F2,"63,558,834"
VIVO7_FEC_VLP_APR16_F2,"66,712,166"
VIVO7_FEC_VLP_APR30_F2,"47,981,406"
VIVO7_FEC_VLP_APR30_F2,"50,846,060"
VIVO7_FEC_VLP_APR30_F5,"48,316,427"
VIVO7_FEC_VLP_APR30_F5,"51,732,453"
VIVO7_FEC_VLP_AUG2_F27,"70,009,570"
VIVO7_FEC_VLP_AUG2_F27,"71,830,195"
VIVO7_FEC_VLP_AUG2_F28,"50,327,790"
VIVO7_FEC_VLP_AUG2_F28,"51,759,177"
VIVO7_FEC_VLP_AUG2_F29,"217,385,915"
VIVO7_FEC_VLP_AUG2_F29,"227,570,736"
VIVO7_FEC_VLP_AUG2_M25,"69,569,697"
VIVO7_FEC_VLP_AUG2_M25,"70,893,581"
VIVO7_FEC_VLP_AUG2_M26,"26,552,739"
VIVO7_FEC_VLP_AUG2_M26,"27,066,000"
VIVO7_FEC_VLP_JUL19_F21,"27,951,149"
VIVO7_FEC_VLP_JUL19_F21,"28,531,545"
VIVO7_FEC_VLP_JUL19_F22,"145,634,545"
VIVO7_FEC_VLP_JUL19_F22,"158,882,782"
VIVO7_FEC_VLP_JUL19_F23,"416,720,176"
VIVO7_FEC_VLP_JUL19_F23,"430,493,193"
VIVO7_FEC_VLP_JUL19_F24,"161,150,651"
VIVO7_FEC_VLP_JUL19_F24,"166,343,158"
VIVO7_FEC_VLP_JUL19_M20,"48,621,747"
VIVO7_FEC_VLP_JUL19_M20,"52,522,710"
VIVO7_FEC_VLP_JUL3_F27,"79,791,464"
VIVO7_FEC_VLP_JUL3_F27,"86,193,969"
VIVO7_FEC_VLP_JUL3_F28,"33,535,202"
VIVO7_FEC_VLP_JUL3_F28,"34,610,529"
VIVO7_FEC_VLP_JUL3_F29,"121,467,685"
VIVO7_FEC_VLP_JUL3_F29,"123,912,018"
VIVO7_FEC_VLP_JUL3_M25,"41,116,235"
VIVO7_FEC_VLP_JUL3_M25,"42,072,816"
VIVO7_FEC_VLP_JUL3_M26,"74,361,606"
VIVO7_FEC_VLP_JUL3_M26,"80,634,222"
VIVO7_FEC_VLP_JUL4_F15,"73,354,471"
VIVO7_FEC_VLP_JUL4_F15,"78,760,699"
VIVO7_FEC_VLP_JUL4_F16,"145,774,425"
