Date,AnimalID,SampleID,SampleName,Group,Dam,DonorID,SampleType,ReadsMappedToVOTU,ReadsMappedToPhages,ReadsMappedToContigs,HumanContamination,MouseContamination,PrePostFVT,PostnatalDay,DOB
MAY27,F15,21,VIVO7_FEC_VLP_MAY27_F15,1,F2,1,Pup,17.16,12.87,94.24,2.38,6.89,Pre,34,APR23
JUN7,F15,31,VIVO7_FEC_VLP_JUN7_F15,1,F2,1,Pup,9.75,5.11,94.75,0.68,41.72,Post,45,APR23
JUN11,F15,36,VIVO7_FEC_VLP_JUN11_F15,1,F2,1,Pup,9.64,7.16,76.2,27.13,17.89,Post,49,APR23
JUL4,F15,41,VIVO7_FEC_VLP_JUL4_F15,1,F2,1,Pup,8.13,2.96,93.55,0.51,13.86,Post,72,APR23
MAY16,F16,17,VIVO7_FEC_VLP_MAY16_F16,1,F2,1,Pup,38.3,26.79,89.73,0.44,9.72,Pre,23,APR23
MAY27,F16,22,VIVO7_FEC_VLP_MAY27_F16,1,F2,1,Pup,26.7,19.36,91.04,3.05,2.7,Pre,34,APR23
JUN7,F16,32,VIVO7_FEC_VLP_JUN7_F16,1,F2,1,Pup,11.25,6.26,89.52,0.74,44.91,Post,45,APR23
JUN11,F16,37,VIVO7_FEC_VLP_JUN11_F16,1,F2,1,Pup,14.43,9.67,92.55,1.38,18.76,Post,49,APR23
JUL4,F16,42,VIVO7_FEC_VLP_JUL4_F16,1,F2,1,Pup,11.26,6.14,95.13,0.69,7.58,Post,72,APR23
MAY27,F2,3,VIVO7_FEC_VLP_MAY27_F2,1,F2,1,Breeder,81.75,77.95,97.4,0.05,0.52,,,
APR16,F2,6,VIVO7_FEC_VLP_APR16_F2,1,F2,1,Breeder,11.55,5.25,93.3,0.04,0.62,,,
APR30,F2,8,VIVO7_FEC_VLP_APR30_F2,1,F2,1,Breeder,7.21,2.55,91.27,0.26,6.31,,,
MAY29,F21,44,VIVO7_FEC_VLP_MAY29_F21,1,F5,1,Pup,36.8,33.72,92.53,1.17,2.84,Pre,20,MAY9
JUN10,F21,49,VIVO7_FEC_VLP_JUN10_F21,1,F5,1,Pup,7.29,1.55,92.73,0.27,16.08,Pre,32,MAY9
JUN14,F21,54,VIVO7_FEC_VLP_JUN14_F21,1,F5,1,Pup,15.02,9.57,96.11,0.34,10.21,During,36,MAY9
JUN21,F21,59,VIVO7_FEC_VLP_JUN21_F21,1,F5,1,Pup,7.21,2.24,98.47,0.06,7.7,Post,43,MAY9
JUN25,F21,64,VIVO7_FEC_VLP_JUN25_F21,1,F5,1,Pup,10.34,5.57,94.24,1.46,6.87,Post,47,MAY9
JUL19,F21,69,VIVO7_FEC_VLP_JUL19_F21,1,F5,1,Pup,6.72,0.89,82.43,0.08,3.5,Post,71,MAY9
MAY29,F22,45,VIVO7_FEC_VLP_MAY29_F22,1,F5,1,Pup,48.6,45.91,91.27,3.17,3.9,Pre,20,MAY9
JUN10,F22,50,VIVO7_FEC_VLP_JUN10_F22,1,F5,1,Pup,25.62,19.53,91.11,0.89,3.57,Pre,32,MAY9
JUN14,F22,55,VIVO7_FEC_VLP_JUN14_F22,1,F5,1,Pup,11.77,6.67,92.76,0.24,16.78,During,36,MAY9
JUN21,F22,60,VIVO7_FEC_VLP_JUN21_F22,1,F5,1,Pup,9.94,3.24,87.07,0.08,0.95,Post,43,MAY9
JUN25,F22,65,VIVO7_FEC_VLP_JUN25_F22,1,F5,1,Pup,20.15,15.08,92.32,2.42,27.37,Post,47,MAY9
JUL19,F22,70,VIVO7_FEC_VLP_JUL19_F22,1,F5,1,Pup,6.44,1.34,95.81,0.24,28,Post,71,MAY9
MAY29,F23,46,VIVO7_FEC_VLP_MAY29_F23,1,F5,1,Pup,31.77,26.78,97.38,0.52,2.7,Pre,20,MAY9
JUN10,F23,51,VIVO7_FEC_VLP_JUN10_F23,1,F5,1,Pup,8.56,2.46,90.27,0.18,23.26,Pre,32,MAY9
JUN14,F23,56,VIVO7_FEC_VLP_JUN14_F23,1,F5,1,Pup,8.13,2.61,97.25,0.15,16.91,During,36,MAY9
JUN21,F23,61,VIVO7_FEC_VLP_JUN21_F23,1,F5,1,Pup,7.32,2.34,98.62,0.01,2.12,Post,43,MAY9
JUN25,F23,66,VIVO7_FEC_VLP_JUN25_F23,1,F5,1,Pup,17.65,12.41,87.12,2.41,29.66,Post,47,MAY9
JUL19,F23,71,VIVO7_FEC_VLP_JUL19_F23,1,F5,1,Pup,6.29,0.99,97.37,0.06,13.86,Post,71,MAY9
MAY29,F24,47,VIVO7_FEC_VLP_MAY29_F24,1,F5,1,Pup,54.51,51.78,93.07,2.97,1.27,Pre,20,MAY9
JUN10,F24,52,VIVO7_FEC_VLP_JUN10_F24,1,F5,1,Pup,20.47,14.5,94.48,0.77,1.08,Pre,32,MAY9
JUN14,F24,57,VIVO7_FEC_VLP_JUN14_F24,1,F5,1,Pup,13.14,7.43,91.48,0.86,13.56,During,36,MAY9
JUN21,F24,62,VIVO7_FEC_VLP_JUN21_F24,1,F5,1,Pup,7.54,2.35,98.19,0.02,2.37,Post,43,MAY9
JUL19,F24,72,VIVO7_FEC_VLP_JUL19_F24,1,F5,1,Pup,6.37,0.98,94.33,0.04,5.89,Post,71,MAY9
MAY16,F5,2,VIVO7_FEC_VLP_MAY16_F5,1,F5,1,Breeder,59.28,50.41,98,0.04,0.97,,,
APR30,F5,9,VIVO7_FEC_VLP_APR30_F5,1,F5,1,Breeder,33.08,25.57,93.95,0.25,24.62,,,
MAY16,M12,13,VIVO7_FEC_VLP_MAY16_M12,1,F2,1,Pup,39.75,33.16,56.91,2.92,6.4,Pre,23,APR23
MAY27,M12,18,VIVO7_FEC_VLP_MAY27_M12,1,F2,1,Pup,7.81,2.25,95.46,0.06,5.57,Pre,34,APR23
MAY30,M12,23,VIVO7_FEC_VLP_MAY30_M12,1,F2,1,Pup,21.15,16.04,93.76,1.06,11.98,During,37,APR23
JUN7,M12,28,VIVO7_FEC_VLP_JUN7_M12,1,F2,1,Pup,14.13,9.68,91.36,1.65,22.17,Post,45,APR23
JUN11,M12,33,VIVO7_FEC_VLP_JUN11_M12,1,F2,1,Pup,17.98,13.48,94.09,4.46,6.05,Post,49,APR23
JUL4,M12,38,VIVO7_FEC_VLP_JUL4_M12,1,F2,1,Pup,27.26,24.74,93.99,0.47,14.63,Post,72,APR23
MAY27,M13,19,VIVO7_FEC_VLP_MAY27_M13,1,F2,1,Pup,10.33,5.23,92.8,2.32,7.17,Pre,34,APR23
MAY30,M13,24,VIVO7_FEC_VLP_MAY30_M13,1,F2,1,Pup,20.14,16.93,93.86,2.12,8.52,During,37,APR23
JUN7,M13,29,VIVO7_FEC_VLP_JUN7_M13,1,F2,1,Pup,11.82,7.12,93.92,1.11,36.54,Post,45,APR23
JUN11,M13,34,VIVO7_FEC_VLP_JUN11_M13,1,F2,1,Pup,6.46,1.22,97.35,0.11,12.76,Post,49,APR23
JUL4,M13,39,VIVO7_FEC_VLP_JUL4_M13,1,F2,1,Pup,13.3,7.76,88.22,0.5,41.38,Post,72,APR23
MAY27,M14,20,VIVO7_FEC_VLP_MAY27_M14,1,F2,1,Pup,6.76,1.51,91.71,0.25,8.7,Pre,34,APR23
MAY30,M14,25,VIVO7_FEC_VLP_MAY30_M14,1,F2,1,Pup,16.78,12.75,89.97,3.43,8.02,During,37,APR23
JUN7,M14,30,VIVO7_FEC_VLP_JUN7_M14,1,F2,1,Pup,14.28,10.16,84.81,1.88,5.06,Post,45,APR23
JUN11,M14,35,VIVO7_FEC_VLP_JUN11_M14,1,F2,1,Pup,10.86,5.99,92.5,2.08,2.39,Post,49,APR23
JUL4,M14,40,VIVO7_FEC_VLP_JUL4_M14,1,F2,1,Pup,9.46,4.16,93.8,0.34,11.6,Post,72,APR23
MAY29,M20,43,VIVO7_FEC_VLP_MAY29_M20,1,F5,1,Pup,32.63,29.45,94.66,2.25,2.06,Pre,20,MAY9
JUN10,M20,48,VIVO7_FEC_VLP_JUN10_M20,1,F5,1,Pup,7.36,1.83,92.05,0.04,0.75,Pre,32,MAY9
JUN14,M20,53,VIVO7_FEC_VLP_JUN14_M20,1,F5,1,Pup,13.02,7.48,95.37,0.34,31.75,During,36,MAY9
JUN21,M20,58,VIVO7_FEC_VLP_JUN21_M20,1,F5,1,Pup,6.74,1.35,95.54,0.18,34.62,Post,43,MAY9
JUN25,M20,63,VIVO7_FEC_VLP_JUN25_M20,1,F5,1,Pup,10.55,5.49,94.09,5.43,5.55,Post,47,MAY9
JUL19,M20,68,VIVO7_FEC_VLP_JUL19_M20,1,F5,1,Pup,26.73,22.38,92.29,0.78,58.2,Post,71,MAY9
MAY13,POOL-F2,122,VIVO7_FEC_VLP_MAY13_POOL_F2,1,F2,1,Pup,7.79,3.9,80.63,1.19,10.56,Pre,20,APR23
JUN10,F27,75,VIVO7_FEC_VLP_JUN10_F27,2,F8,1,Pup,12.53,8.28,87.21,1.53,15.57,Pre,22,MAY19
JUN18,F27,80,VIVO7_FEC_VLP_JUN18_F27,2,F8,1,Pup,25.22,19.23,94.34,3.3,7.95,Pre,30,MAY19
JUN21,F27,85,VIVO7_FEC_VLP_JUN21_F27,2,F8,1,Pup,8.66,2.76,91.17,0.1,14.95,During,33,MAY19
JUN28,F27,90,VIVO7_FEC_VLP_JUN28_F27,2,F8,1,Pup,6.83,1.51,94.61,0.05,4.05,Post,40,MAY19
JUL3,F27,95,VIVO7_FEC_VLP_JUL3_F27,2,F8,1,Pup,8.2,2.71,93.14,2.07,42.61,Post,45,MAY19
AUG2,F27,100,VIVO7_FEC_VLP_AUG2_F27,2,F8,1,Pup,6.85,1.49,88.61,0.21,41.18,Post,75,MAY19
JUN10,F28,76,VIVO7_FEC_VLP_JUN10_F28,2,F8,1,Pup,44.68,39.41,93.05,2.53,3.36,Pre,22,MAY19
JUN21,F28,86,VIVO7_FEC_VLP_JUN21_F28,2,F8,1,Pup,7.86,2.35,94.51,0.06,7.78,During,33,MAY19
