tax_id	VIVO8-FEC-16S-MAR25_M23.fq	VIVO8-FEC-16S-DEC30_F2.fq	VIVO8-FEC-16S-FEB11_M30.fq	VIVO8-FEC-16S-FEB28_M26.fq	NEG_CTL.fq	VIVO8-FEC-16S-APR02_F32.fq	VIVO8-FEC-16S-APR02_F28.fq	VIVO8-FEC-16S-FEB21_M30.fq	VIVO8-FEC-16S-FEB18_M26.fq	VIVO8-FEC-16S-MAR07_M30.fq	VIVO8-FEC-16S-JAN06_F12.fq	VIVO8-FEC-16S-MAR07_M27.fq	VIVO8-FEC-16S-FEB18_M31.fq	VIVO8-FEC-16S-FEB21_M27.fq	VIVO8-FEC-16S-FEB28_M31.fq	VIVO8-FEC-16S-FEB11_M27.fq	VIVO8-FEC-16S-MAR25_F25.fq	VIVO8-FEC-16S-FEB11_M31.fq	VIVO8-FEC-16S-FEB28_M27.fq	VIVO8-16S-DONOR2.fq	VIVO8-FEC-16S-MAR07_M31.fq	VIVO8-FEC-16S-FEB21_M31.fq	VIVO8-FEC-16S-FEB18_M27.fq	VIVO8-FEC-16S-APR02_F29.fq	VIVO8-FEC-16S-APR02_F33.fq	VIVO8-FEC-16S-FEB18_M30.fq	VIVO8-FEC-16S-JAN17_F2.fq	VIVO8-FEC-16S-FEB21_M26.fq	VIVO8-FEC-16S-MAR07_M26.fq	VIVO8-FEC-16S-MAR25_F24.fq	VIVO8-FEC-16S-FEB28_M30.fq	VIVO8-FEC-16S-FEB11_M26.fq	VIVO8-FEC-16S-MAR07_F28.fq	VIVO8-FEC-16S-FEB21_F32.fq	VIVO8-FEC-16S-FEB21_F28.fq	VIVO8-FEC-16S-MAR07_F32.fq	VIVO8-FEC-16S-APR02_M30.fq	VIVO8-FEC-16S-JAN15_F14.fq	VIVO8-FEC-16S-FEB24_F25.fq	VIVO8-FEC-16S-JAN23_F12.fq	VIVO8-FEC-16S-FEB11_F28.fq	VIVO8-FEC-16S-FEB10_M23.fq	VIVO8-FEC-16S-FEB28_F24.fq	VIVO8-FEC-16S-FEB11_F32.fq	VIVO8-16S-DONOR1.fq	VIVO8-FEC-16S-FEB14_F25.fq	VIVO8-FEC-16S-JAN30_M23.fq	VIVO8-FEC-16S-JAN30_F25.fq	VIVO8-FEC-16S-FEB14_M23.fq	VIVO8-FEC-16S-FEB28_F33.fq	VIVO8-FEC-16S-FEB28_F29.fq	VIVO8-FEC-16S-FEB10_F25.fq	VIVO8-FEC-16S-FEB18_F29.fq	VIVO8-FEC-16S-FEB24_M23.fq	VIVO8-FEC-16S-FEB18_F33.fq	VIVO8-FEC-16S-APR02_M27.fq	VIVO8-FEC-16S-JAN28_F14.fq	VIVO8-FEC-16S-FEB24_F24.fq	VIVO8-FEC-16S-APR02_M31.fq	VIVO8-FEC-16S-FEB21_F29.fq	VIVO8-FEC-16S-MAR07_F33.fq	VIVO8-FEC-16S-MAR07_F29.fq	VIVO8-FEC-16S-FEB21_F33.fq	VIVO8-FEC-16S-FEB14_F24.fq	VIVO8-FEC-16S-FEB28_F25.fq	VIVO8-FEC-16S-FEB11_F33.fq	VIVO8-FEC-16S-FEB11_F29.fq	VIVO8-FEC-16S-FEB10_F24.fq	VIVO8-FEC-16S-FEB28_M23.fq	VIVO8-FEC-16S-FEB28_F28.fq	VIVO8-FEC-16S-JAN30_F24.fq	VIVO8-FEC-16S-FEB28_F32.fq	VIVO8-FEC-16S-APR02_M26.fq	VIVO8-FEC-16S-FEB18_F32.fq	VIVO8-FEC-16S-FEB18_F28.fq
102684											154.54132324696823	30.06393864092292																	40.515253348695694								12.512447370866006													12.548269426918736					19.310715187783508	381.06900499249895																	1083.209457680484		
105841	264.2376503143689		127.75407809655752	61.00350027099968	1.999999999997016	196.68955360459825	56.93340657007152	139.99983623256676	220.71864690501695	60.03842159805548	150.0426203155895	434.35947379796465	599.595381991221	392.81777509759337	502.32198996886393	834.8125754098113		14.000000000083991	254.6435590989443		107.99126706647432	344.0113938464203	186.60321653346617	113.12311917597704	275.03550461492785	1851.41551980706	25.596363131619025	472.99910046773425	499.7583790863555	22.99280559155921	1015.7901976966712	573.5451157788317	367.0283928745308	236.9812621204484	56.26907916064326	354.4281262713166	435.2123359218393	343.9283753522512	45.83870673462125	30.256582727624536	801.8467574762972	53.019213661739016	232.15553411425824	688.6161656491063	29.107151405671345	27.85016855641101	62.967856948389525	124.03476173126698	190.62815671169372	2762.783963366367	146.5408897144508	91.4516359443781	753.8800118282307	70.97813544672418	647.5042860531782	355.2594593827934	172.3787994309729	87.48209439102882	33.89668572972691	404.554387634259	375.9002529687054	76.36677656033388	135.43733815483048	84.22582060252824	95.13465362918303	654.1268199631497	2856.5099717416024	87.01823390855596	104.27308612553874	126.1067893905405	124.23298438431922	132.9404726463506	442.1077892238012	476.13330738334474	165.86136492356857
1096246	9004.416855285657	112.05660322908214	637.9675701818468	717.8968499656525	30.11606684933998	1850.040759189716	750.5557054118414	758.158514608645	2999.172015740171	686.9096159538287	2168.5853393624825	3650.743877987167	1326.9808287946892	5813.86398596887	4418.182752391564	2397.4391685703604	353.7931291561692	31.101982488185673	2828.2381204715716	26.341305980149272	1140.6119545198112	1006.8875662929566	2836.7400163613092	1488.3363938292564	4636.6761037418955	5618.858624022123	1274.9669562029983	4504.748803814582	6495.537681962546	1084.8105121244037	6526.153335836378	2283.212954497985	4002.437662046913	1141.5966848502069	694.8004081314438	2979.7475966354195	5418.415935522696	1569.5598631938913	1145.415970739874	266.25956777967355	1811.977873992738	1933.716657769594	6822.191643494279	1295.924346331709	241.88219853259537	1024.2812879604892	2099.773597241884	4797.063611122513	9405.873654333847	5261.317052841914	2560.5075290139657	4722.085604686581	6045.732723909726	3207.2366113323674	2273.9232425062005	3644.9333279679217	2256.2176040888367	3218.5402909868685	529.6762255350317	3728.3929245262784	3462.9677859645008	1134.9099708308693	1077.273941357289	2320.9464681996565	3604.3574134976566	876.4839533336836	5449.765742122366	3876.326748477728	4926.098039577328	1229.7895354248508	4937.668790605747	1537.8391365063612	3877.011178633202	1506.898458713664	2335.2806674134263
1115758	1528.8832456712908	12.012808768370112	186.3960808195138	251.0411794298669	7.011091775839411	178.7961990206626	85.1734923456188	184.2533613072774	786.1821891829306	111.64697836658895	94.85563387769189	576.0231739499496	340.29324758650847	1363.573264916961	1026.221693479274	348.75250369138735	31.52095681243145	16.372170671490274	622.8760673536661		225.4170828379555	247.07329003867304	554.0368574544631	226.81745654927585	579.7114634497962	1361.1957027485262	309.3961632813795	1362.339291148095	1400.5331549127936	240.44143772460944	1954.832978129057	463.28067486947225	610.8912939324338	323.5050382616706	140.15883421066908	428.322436440048	1044.1968393192417	122.94670517581076	149.5616199151595	53.04894116476834	317.9589834860062	491.4365396978475	707.5790000365372	174.236869336667	28.012179951835208	347.46451513653466	202.7966346165809	657.9648178080919	2937.9067827393424	2106.054865072628	431.7103712193488	848.7865743106973	1370.180047960709	558.449810843601	439.35761901587944	818.3694173853962	440.5316156232938	463.6730727932359	56.30773603418269	1282.310277955676	577.1725315528471	139.45726522549063	211.48168009754377	1243.010611428513	376.8136086830709	605.1522613699299	1483.680833939885	801.1244639323105	873.3690879542371	289.2793847949561	407.9854711171352	312.04988222556733	651.0510708605003	693.4739265879966	268.82302779701774
1229621	43.17738130332682			10.45770331690154		27.727286080612515			27.30860490299528	12.955156841505689	22.713200843205374	45.33480707295797	43.52221134700146	56.42538302351226	55.39775004660723	83.00828213599053			39.62783412933126		16.375849404868752	42.69626933606538	32.13132403381851	16.919147740628237	47.835488549046424	138.01641557588462		75.76109659967432	81.78171685032234		108.45515817473562	38.58376370026313	54.74513491963705	14.747630704647069	11.730919907209609	47.01988490867679	88.64814054990501	50.761543818003744			86.24596656604807		66.85314747015269	51.49302119352592				33.959254784147085	51.91798437248625	306.25190957402407	21.403847215345383		75.44604912595199	17.418841049814432	69.24749855499527	59.65677254853628	32.32139811737635	19.94464068427896		40.59835664012464	48.07573100846067	19.640532756014455	13.025886680579962	16.777306445753332	32.50416150477398	114.33721305517356	240.46315000726037		13.22504361142268	11.902348098234906	22.00063250086688	19.005365952303773	116.57394104904078	51.36932846512885	16.287028416703944
1296	14.992511024612796									19.0					18.781554387711537						39.0	14.344222479537532			20.400512733236923			15.99999999999999	15.998420788170268		530.9828993414081		12.168365202404122			68.97853748825759	31.996620260351047	15.999999999999888					18.99658991703176						12.973285366482934	190.97521429784615					10.999999972207776	18.00000000121942	99.99999999973215				129.0		15.998619485204642		19.999999908189437	20.0						36.0	29.99745875775608		
1304																																													58.132718935769816																														
1309																				12.0																																																							
1311																																																																									19.824210881626257		
1322	10.237676508914657																																				13.008240300884026						10.06614845798052						13.159753805694							11.001228807262851																			
