feature	Eggerthella lenta-84112	Gordonibacter urolithinfaciens-1335613	Slackia isoflavoniconvertens-572010	Collinsella aerofaciens-74426	Bifidobacterium breve-1685	Turicibacter sp. H121-1712675	Faecalitalea cylindroides-39483	Faecalicoccus pleomorphus-1323	Erysipelatoclostridium ramosum-1547	Lactococcus garvieae-1363	Streptococcus equinus-1335	Enterococcus faecium-1352	Staphylococcus sciuri-1296	Laceyella sacchari-37482	Terrisporobacter mayombei-1541	Romboutsia ilealis-1115758	Flintibacter sp. KGMB00164-2610895	Flavonifractor plautii-292800	Ruthenibacterium lactatiformans-1550024	Pseudoflavonifractor phocaeensis-1870988	Hungatella hathewayi-154046	Clostridium paraputrificum-29363	Anaerostipes caccae-105841	Enterocloster bolteae-208479	Anaerotignum lactatifermentans-160404	[Ruminococcus] gnavus-33038	Lacrimispora saccharolytica-84030	Lachnoclostridium sp. YL32-1834196	Blautia luti-89014	Escherichia coli-562	Enterobacter hormaechei-158836	Parabacteroides distasonis-823	Butyricimonas phoceensis-1720203	Phocaeicola vulgatus-821	Bacteroides uniformis-820
VIVO8-FEC-16S-FEB11_M30	NA	-9.11009175192513	NA	NA	-6.34455700556215	NA	NA	-8.11009175192513	NA	NA	-8.55755072889635	-3.2721485100341	NA	NA	-9.31654262939256	-4.97258822817519	-8.01698234753365	-9.55755072889635	-8.92951950628331	NA	-1.96985843541962	NA	-6.02829766076148	-5.59912983264775	-8.55755072889635	-6.22256648118354	-7.40227250341844	NA	-7.46239349585601	-6.90845789075548	NA	-5.47008788764601	NA	-4.79781382707149	-1.16211396427341
VIVO8-FEC-16S-APR02_F32	NA	-8.42008781608923	-10.0721645126689	NA	-7.58183888608584	NA	-10.6571270133901	-7.34554086272417	NA	-11.0050503168104	-8.39839274498991	-1.51629724261707	NA	-9.29455693400537	-7.75023641778156	-6.19769539475278	-9.65712701339008	-8.972628839118	-6.45325468002443	NA	-1.99840547405143	-10.6571270133901	-6.66358203552737	-5.80270383767569	-10.7640422173066	-7.15159898016332	-9.14255384056032	-10.0050503168104	-6.95668729524898	-7.02985370781095	NA	-6.55759133983916	-10.5575913398392	-5.4448912070898	-1.96513430257108
VIVO8-FEC-16S-FEB21_M30	NA	-8.82396425848674	NA	NA	-7.65403925704443	NA	NA	-7.57603674504315	NA	NA	-7.65403925704443	-2.61451089285779	NA	-9.50203616359938	-7.09604380392354	-4.90510102121214	-9.50203616359938	-9.01660933642913	-7.91707366287822	NA	-1.9769069123954	NA	-5.70502318576323	-5.90510102121214	NA	-6.57603674504315	-8.7365014172364	NA	-7.39769950378464	-7.61451089285779	NA	-5.6440551684718	NA	-6.2693754068091	-1.24700759378065
VIVO8-FEC-16S-MAR07_M30	NA	-7.27699673929712	-9.18953389804678	NA	-6.5904962121139	NA	NA	-7.12724961979244	NA	NA	-8.69203423857596	-1.56189273006095	-9.02906922585353	NA	-7.41901574416955	-5.82578562746479	-8.18953389804678	-8.18953389804678	-7.91944473467904	NA	-2.27418172369007	-9.46964181723952	-7.10707173785481	-5.85073198459502	NA	-6.0871721804171	-9.02906922585353	-9.3701061436886	-6.9019573079502	-6.70714113096617	NA	-6.45681777688193	NA	-5.66228689518191	-1.76425627649362
VIVO8-FEC-16S-FEB18_M31	NA	-8.0418971808476	-9.98049663618346	NA	-6.65256980067465	-8.3756345780246	NA	-9.35600577127567	-9.31753162346103	NA	-8.20790713228653	-1.98779428513977	NA	-9.86501941876352	-6.98049663618346	-5.40558780012623	-8.86501941876352	-8.5881792134047	-7.63472179934173	NA	-2.50577668965698	-11.1060275182673	-5.23902964978231	-5.29166353769035	-10.4779962956543	-5.76455923698431	-9.0418971808476	-8.63472179934173	-6.11837591069496	-6.275440289972	NA	-6.05766449670592	-9.52106501754616	-5.46217132849259	-1.50543878239676
VIVO8-FEC-16S-FEB28_M31	NA	-7.99075299815242	-10.3188071958366	NA	-6.45976811849009	-10.587993828652	-10.7034710460719	-7.34201458699795	-11.8733960475143	-10.5514679526269	-8.54247916939964	-2.26606573376465	-11.7034710460719	-9.70347104607195	-7.63022206404131	-5.25409309209857	-8.28093901024618	-8.59727164224002	-7.32264926213102	NA	-2.14197093987131	-9.96650545190574	-6.72364892800958	-6.16776366015285	-10.6639426818853	-6.80730685705649	-9.33423723640623	-11.0154150523867	-6.53132137951512	-6.35179560779053	-11.2295398577395	-5.99381279790148	-9.34983409145725	-5.96350296374422	-1.32861268721235
VIVO8-FEC-16S-FEB11_M31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.11731037527889	NA	NA	NA	-6.12928301694497	-6.64385618977472	NA	NA	NA	-4.34967308537027	-7.33573389441239	-7.22881869049588	-6.94871077130315	NA	-2.66548620574627	NA	NA	NA	-3.84634905367347	NA	-7.45121111183233	NA	-5.94871077130315	-1.29302221844098
VIVO8-FEC-16S-MAR07_M31	NA	-8.05999987753277	-9.40395427875013	NA	-6.20654854088571	NA	-11.6449623782539	-8.37647354232802	NA	-11.7824659020039	-8.89494063126227	-2.54000630083859	-9.81899177802898	-10.1975034012827	-8.81899177802898	-6.50820424074681	-8.89494063126227	-9.43196865491973	-8.29703907483362	NA	-3.05284515845082	NA	-8.16187949155198	-6.81899177802898	-11.2970390748336	-7.15019768650435	-9.78246590200386	-10.7120765741125	-7.69500306075352	-6.41439602547178	-11.2970390748336	-5.62461373286212	-9.08202618386277	-4.90963714246898	-0.821450383776136
VIVO8-FEC-16S-FEB21_M31	NA	-8.65137790826136	-9.97330600314872	NA	-6.85530879375027	-9.67785011962255	NA	-8.84777512106486	NA	NA	-8.22328425615707	-3.1164560900398	-10.6253826997284	-9.67785011962255	-7.56237290220261	-5.7852791953311	-8.4554576982861	-9.22328425615707	-7.20391893129013	NA	-2.57825878761439	-10.8477751210649	-5.84028058451794	-6.09288761890139	-11.1108095268987	-6.62538269972841	-9.62538269972841	-9.47854131139914	-6.55622067522102	-7.1018207436714	NA	-5.641574733231	-9.18481010834243	-4.87049519756494	-0.897705307256746
VIVO8-FEC-16S-APR02_F33	NA	-8.49787352623184	-10.3775792925141	-12.4364729815677	-7.9770413629304	-11.1145448866803	-9.91291102551068	-7.72222746390157	-12.5620038636516	-11.2140805602312	-7.8266786278666	-1.46074440736583	-11.6995073874015	-9.68158547940422	-8.80226696182669	-6.01581093309497	-9.09069814472596	-8.80226696182669	-7.2799684958877	NA	-2.38458432566232	-11.0214354822888	-7.6162940191525	-5.94061795468052	-10.7735079688453	-6.83656013938057	-9.34901014031735	-11.067239171902	-7.4515798739579	-7.64639605094192	NA	-6.39572663922438	-9.95534629183108	-5.05348877647614	-1.70063493340721
VIVO8-FEC-16S-FEB18_M30	-12.5164766165279	-8.16706778521847	-10.3100257390605	NA	-7.69335437861202	-10.027091775789	-12.1294534934187	-8.47544934826788	-11.7574847160317	-12.5164766165279	-8.74931078458603	-3.25221447724859	NA	-9.60220649055382	-7.63195383394788	-5.25113205000694	-7.92689748773641	-8.69335437861202	-7.64706072633808	-12.4095614126114	-2.15960145688633	NA	-5.24896962885632	-5.93730575361655	-11.2627200242822	-6.90857730452962	-9.96898882122545	-10.7906515799669	-6.40634469992789	-6.6835866023632	-12.4095614126114	-5.44295296623547	-9.08763331772407	-6.53392175098735	-1.01173400844039
VIVO8-FEC-16S-FEB28_M30	NA	-8.56710938414414	-10.1577184480064	NA	-6.69520414648495	-9.67229162083619	-10.6602187885356	-7.33588820343295	-12.7597544620865	-9.50102019368636	-8.31918187070055	-2.02522627870189	-7.51726083469357	-9.63637204658125	-8.19206995279721	-5.00248352134876	-8.65422004791417	-8.85286386647801	-8.34794086368198	NA	-2.2395567400629	-10.6602187885356	-6.40471805538723	-6.42372617015432	-11.4378263671992	-7.09340363452472	-9.41736226463945	-10.4173622646395	-7.06726349706093	-6.67532568092583	-9.78574967061948	-5.99630494641964	-9.79892505936721	-6.11486814371332	-1.3867728346858
