feature	Raoultibacter timonensis-1907662	Gordonibacter urolithinfaciens-1335613	Slackia isoflavoniconvertens-572010	Collinsella aerofaciens-74426	Bifidobacterium breve-1685	Turicibacter sp. H121-1712675	Faecalitalea cylindroides-39483	Faecalicoccus pleomorphus-1323	Erysipelatoclostridium ramosum-1547	Lactococcus garvieae-1363	Streptococcus equinus-1335	Enterococcus faecium-1352	Staphylococcus sciuri-1296	Laceyella sacchari-37482	Terrisporobacter mayombei-1541	Romboutsia ilealis-1115758	Flintibacter sp. KGMB00164-2610895	Flavonifractor plautii-292800	Ruthenibacterium lactatiformans-1550024	Anaeromassilibacillus senegalensis-1673717	Pseudoflavonifractor phocaeensis-1870988	Hungatella hathewayi-154046	Clostridium paraputrificum-29363	Oribacterium parvum-1501329	Anaerostipes caccae-105841	Enterocloster bolteae-208479	Anaerotignum lactatifermentans-160404	[Ruminococcus] gnavus-33038	Lacrimispora saccharolytica-84030	Lachnoclostridium sp. YL32-1834196	Blautia luti-89014	Shigella flexneri-623	Escherichia coli-562	Enterobacter hormaechei-158836	Parabacteroides distasonis-823	Butyricimonas phoceensis-1720203	Phocaeicola vulgatus-821	Bacteroides uniformis-820	Alistipes putredinis-28117
VIVO8-FEC-16S-FEB28_M26	NA	-8.60395354855007	NA	NA	-8.29909896702165	-9.60395354855007	-10.369488294913	-7.96349593523721	-10.2319847711631	NA	-7.83343539467284	-1.37485200440347	NA	-8.99097667165932	-9.78452579419189	-5.10645388907925	-9.23198477116311	-8.88406146774281	-8.23198477116311	NA	NA	-2.42228971065099	NA	-8.99097667165932	-7.54166927029573	-5.97717087213429	-7.88406146774281	-7.83343539467284	-7.0767065456852	NA	-7.28202545366271	NA	-6.87123742738522	NA	-6.26515163509831	NA	-6.47224786933825	-1.78114843398957	NA
VIVO8-FEC-16S-APR02_F28	NA	-8.49385544924082	NA	NA	-7.99135510871164	NA	NA	-7.94953493301701	NA	NA	-7.90889294851967	-1.4345109884164	NA	NA	-8.90889294851967	-5.8499992594661	-7.43496176018725	-7.90889294851967	-7.94953493301701	NA	NA	-1.95534315171784	NA	-8.75688985507462	-7.27146302790437	-5.76593499467762	-7.55525599390497	-7.43496176018725	-7.52422909828434	NA	-7.75688985507462	NA	-8.22083695483441	NA	-6.99135510871164	NA	-5.79341573109973	-2.03374089802704	NA
VIVO8-FEC-16S-FEB18_M26	NA	-8.31009389418349	-11.5983388628146	-11.7138160802345	-8.42841386137225	-8.90646115817689	-10.491423658898	-7.64772688977673	NA	-11.8393469623184	-8.23268939049788	-1.79309106048332	NA	-9.62635323898416	-9.12885357951334	-5.10033353950329	-8.88938764481795	-8.517418867431	-7.41613553159381	NA	NA	-2.0893252153267	NA	-7.14903146145097	-7.35041134937098	-6.23538349966715	-7.15922722855686	-7.46588856679091	-7.52399152135448	-11.2113157397053	-7.02265417568142	NA	-7.84756746912333	NA	-6.10648576648489	NA	-4.86519313980516	-1.69898193989145	NA
VIVO8-FEC-16S-MAR07_M27	-11.5724259901498	-8.39408874889126	-10.7759593842349	-12.2353910028722	-6.4280360808146	-11.4280360808146	-11.732890662343	-8.3365377263291	NA	-12.1199137854523	-5.6910704866484	-1.94969981154211	NA	-9.91346290798484	-9.48050350070874	-5.92099658067025	-9.84307358009345	-8.58194876426828	-7.6060343827926	NA	NA	-2.28410628790523	-11.5724259901498	-9.57242599014978	-6.91647165785718	-6.04556644399219	-7.38990095192783	-7.8316688168212	-7.0389937900687	-10.732890662343	-7.6060343827926	-12.3609218849561	-7.73820446223949	NA	-5.88813875162498	NA	-5.23539100287221	-1.43314392287372	NA
VIVO8-FEC-16S-FEB21_M27	NA	-7.11936551339113	-10.4383463242282	-10.4383463242282	-7.79096132297319	-9.05305616834337	-9.84360280271442	-6.35261645020227	-12.3526164502023	-11.3526164502023	-8.53735633005932	-2.46071593430094	NA	-9.66073874556461	-9.07577624484345	-5.01688255578988	-8.54526152814467	-8.12824366473759	-7.58545061826037	-12.0530561683434	NA	-1.86849071589721	-11.0988598579565	-8.28487184356644	-7.19196926234797	-6.06579215627083	-7.61011267249464	-7.59772894803881	-6.84604184816583	-10.4680936676222	-7.03346543998549	NA	-7.81465142901829	-12.4680936676222	-6.07148888644035	NA	-4.96294374867908	-1.47144364844632	NA
VIVO8-FEC-16S-FEB11_M27	NA	-9.15325555521462	-9.80095381128373	-11.248412788255	-7.51801984801224	-11.0074046887512	NA	-9.38591631200489	NA	-11.3859163120049	-7.82520135753041	-1.81815032751017	NA	-9.84986341176468	-9.38591631200489	-5.43871772774284	-8.62038156564191	-8.92648469336759	-8.36799440400763	NA	NA	-1.88368119714809	NA	NA	-4.8670664832972	-6.17646294637594	-7.63102880984142	-6.16094994700462	-9.28157965219016	-10.9004894848346	-8.6854765938638	NA	-7.73056448339234	NA	-6.18036740083186	NA	-4.76386449254851	-1.91607102603351	NA
VIVO8-FEC-16S-FEB28_M27	NA	-8.78533186445175	-11.0722130122399	-12.3941411071273	-7.46340376956438	-10.0436438600431	-10.468141688571	-7.68264620047718	-12.3941411071273	-10.7618728916278	-7.92165333566453	-1.89878571489129	NA	-9.85808820688706	-9.60754474523646	-5.63126081421027	-10.1925072459576	-9.07221301223991	-8.52624464313462	NA	NA	-2.33628472796225	-11.468141688571	-11.0722130122399	-7.46340376956438	-6.51394537818417	-7.82125143870669	-7.6180371190541	-7.2648580901823	-11.0722130122399	-7.63392016066076	-11.7160692020146	-7.28980444731253	NA	-5.9561810187928	NA	-5.05162191746666	-1.35084035276309	NA
VIVO8-FEC-16S-FEB18_M27	NA	-8.34790013559809	-11.218913694878	NA	-8.08313691584755	-10.7664014901805	-11.659486286264	-7.97498811199193	NA	-12.1449131134342	-8.68548149479694	-2.92477666603816	NA	-9.55995061271308	-9.82298501854688	-5.70031229972274	-8.659486286264	-9.1630604601445	-7.5964764887382	NA	NA	-2.17581444026548	-11.659486286264	-8.50105692365952	-7.62135115737723	-6.61197282506137	-7.73213158809576	-7.74574201961442	-7.53020326931903	-12.1449131134342	-7.5964764887382	NA	-7.91225235664396	NA	-5.5980186535466	NA	-3.98000618675855	-1.07868934949184	NA
VIVO8-FEC-16S-APR02_F29	NA	-7.61751579759594	-10.5435152161522	NA	-8.05808838898193	-11.1650035928984	-10.7779804697892	-7.61751579759594	NA	-10.4060116924022	-7.89965902637744	-1.15227162672473	NA	-10.2215871212648	-8.65598994541058	-6.16847578480524	-9.08408359751487	-8.79935412058176	-7.94658007376494	NA	NA	-2.49966767571326	-10.8654433110395	-10.2804808103184	-7.71569619153485	-6.08080846548201	-7.95855271543101	-8.05808838898193	-7.77798046978919	-11.1650035928984	-8.23608669095992	NA	-7.91124700065265	NA	-6.38566304701043	NA	-5.47742602569439	-1.99971004018777	NA
VIVO8-FEC-16S-FEB21_M26	NA	-7.98699747974905	-10.9426033603906	-11.8170724783067	-7.87325531369986	-9.37228763563384	-10.4324086280714	-7.25228785952321	NA	-11.463435523692	-8.21881315497212	-1.89630611288828	-12.0801068841405	-9.7015952608868	-8.68321673157195	-4.96393623001372	-9.27275196208293	-7.99264404289019	-7.3759726824417	NA	NA	-2.18761466262923	-11.0801068841405	-7.58611804346687	-6.85514051914026	-5.72607794608614	-7.36128863668458	-7.59898019440391	-7.11355336723367	-10.7775441141201	-6.4831717417533	NA	-8.14779369165211	-12.0801068841405	-6.4152448362455	NA	-5.29002995351476	-1.5721801350602	NA
VIVO8-FEC-16S-MAR07_M26	-12.1802588389794	-7.94823771644518	-10.4253713368159	-12.517293826257	-6.74841305201401	-10.0237543532994	-10.5557679740716	-7.3326794393123	-10.9323313255358	-11.2733682433709	-5.8994880688488	-1.55534917808916	-12.858330744092	-9.75399408427731	-9.70993890419937	-5.61992600476697	-8.97731878030913	-8.66193353128854	-8.15419654239321	NA	-13.4432932448132	-2.39999249044902	-12.0647816215595	-8.44780872593569	-7.50783349700791	-6.17276430243248	-7.8523320034706	-7.73179833816311	-7.25742669950187	-10.7208272203421	-7.37075864509025	-12.858330744092	-7.91973128875619	-13.0647816215595	-6.24952150141652	-12.7652213397006	-5.96270497457934	-1.65931283112941	-13.4432932448132
VIVO8-FEC-16S-FEB11_M26	NA	-8.86014004857294	-10.4208550030474	NA	-7.42990014265043	-11.0423433797937	NA	-9.83589250232627	NA	-10.8358925023263	-8.3852310933167	-2.16370291410003	NA	-9.35046567515602	-9.78858678754791	-5.28951246392416	-8.12807325381958	-8.63425864115661	-7.97459877315786	NA	NA	-2.01784297947242	NA	NA	-5.48775452811605	-6.33764163479844	-7.25896732067053	-6.13545278418517	-9.01486264337158	NA	-9.31651834323269	NA	-7.75409841116262	NA	-5.93865207675147	NA	-4.67534873717826	-1.50154471881137	NA
VIVO8-FEC-16S-MAR07_F28	NA	-7.81599829436781	-9.61491637927677	-11.8373088006132	-6.36853931739659	-10.4222713013344	-10.6750373717143	-7.28125899180731	-12.1421633821416	-11.5857700336173	-8.54312569620877	-1.68339491913123	-12.6446637226708	-9.9816987099484	-8.95350181811775	-6.12502746982761	-9.83730880061322	-8.72183158319329	-7.91221360962711	NA	NA	-2.42448695907525	-10.6750373717143	-9.47473872122852	-7.44826650986732	-6.06597654737616	-7.69824476287567	-7.96283968269708	-6.98883489123003	-10.5857700336173	-7.43196469753822	-12.3227356277835	-8.09519990317106	NA	-5.95583062417772	NA	-5.30629873797279	-1.49772386746328	NA
VIVO8-FEC-16S-FEB21_F28	NA	-8.10740391688425	NA	NA	-8.15987133677839	NA	NA	-7.18683838437866	NA	NA	-8.45532722030456	-2.7163137974895	NA	-9.5928307440545	NA	-5.19365965023467	NA	-7.74483383749955	-8.00786824333334	NA	NA	-1.7784084974877	NA	NA	-6.84866964848409	-6.18683838437866	-7.55720683432377	-6.8703647195834	-7.27090264916713	NA	-7.03211578958002	NA	-7.30004899482665	NA	-5.94897455427977	NA	-5.12685627955043	-1.32745011060831	NA
VIVO8-FEC-16S-FEB11_F28	NA	-8.78055524246637	-9.1865476021422	NA	-7.15974754279849	-9.86461950725484	NA	-9.55427938664269	NA	NA	-8.46408157767111	-2.59858261325952	NA	-9.04904407839227	-9.33855069558725	-5.53980890383436	-7.85026421427777	-8.55427938664269	-7.65049470190199	NA	NA	-2.03781682296901	NA	NA	-4.7156854027285	-5.88642387757319	-8.00068105683087	-6.07802314536403	-8.67558568286482	-10.5084756970296	-8.95388684535193	NA	-7.33855069558725	NA	-5.6724253419715	NA	-4.35745915813732	-1.40109513398366	NA
VIVO8-FEC-16S-FEB28_F29	NA	-8.92772688509517	-10.141851690448	NA	-7.44585787733812	-10.0308203780593	-9.87881728461423	-7.71961868976497	NA	-10.5377803667792	-7.47282492493839	-1.34030498709124	NA	-9.69824503897241	-9.42815587560466	-5.43697972599167	-9.32627626158545	-8.87881728461423	-8.08526816208165	NA	NA	-2.14523697563266	-11.0852681620817	-10.4637797853354	-7.29385478389307	-6.20450729829779	-7.53778036677916	-7.76334006719429	-7.05099825999691	-10.0852681620817	-7.13465618904382	NA	-7.32627626158545	NA	-6.43697972599167	NA	-5.49338624742071	-2.08895764370058	NA
VIVO8-FEC-16S-FEB18_F29	NA	-7.79289872277362	-10.3341398460655	-11.0783009416359	-7.50844533330492	-9.28128796379972	-10.2504819170185	-6.82280020848748	NA	-11.2709460195783	-8.41154434975106	-2.26853281292545	NA	-9.8003161943361	-9.17141034602735	-5.33548627177297	-8.65203618693377	-8.64534153435976	-7.84948225113999	-12.0783009416359	NA	-2.10066325122999	-10.8152665358021	-11.6453415343598	-6.66213677690274	-6.54069425014058	-7.12177957830275	-6.83037342819228	-7.3531051244092	-10.8456401848456	-7.67230858196003	NA	-7.64534153435976	NA	-5.69373301846204	-12.4933384409147	-4.71811227157315	-1.39451677750527	-12.4933384409147
VIVO8-FEC-16S-APR02_M27	NA	-8.20039971640149	-11.2992853809119	-12.5087387465409	-7.32882965652596	-11.6018481509324	-10.9237762458197	-8.23261434126666	-12.1164213237621	-9.76727176013975	-3.77678337276896	-1.36240873661017	-12.3388137450986	-9.8505272637891	-9.42127590529056	-5.94078267112543	-9.41070666358037	-8.57210080753832	-7.67584873237615	NA	NA	-2.84085105524942	-11.2608112330973	-7.97346336992009	-7.74055442176397	-6.13587368642831	-7.75385124437743	-8.27033400721582	-8.02492296927664	-10.0824739918388	-7.57800140897801	-13.0493071279036	-8.39499658049171	-12.8082990283998	-6.1633334998231	NA	-6.47119179257872	-1.82212879578897	NA
VIVO8-FEC-16S-FEB21_F29	NA	-8.3160446813819	-10.6979153167255	-12.0418697179429	-7.96752237648283	-9.42038134119664	-10.5723844346417	-7.29109832425167	NA	-11.1573469353628	-7.99411658649454	-1.45560729668849	NA	-9.83541884047548	-9.61302641913903	-4.86425852335546	-9.34999201330524	-8.57238443464169	-8.18006701186293	-12.0418697179429	NA	-2.17863647625649	-11.218747480027	-9.40245943319937	-6.90941942191926	-6.24845398684318	-7.24645440919683	-7.04882247858467	-6.96423230654864	-10.9349545140264	-6.87194471650059	NA	-7.23848369808825	NA	-6.40023476808486	NA	-5.84144262810325	-1.96700780821369	NA
VIVO8-FEC-16S-MAR07_F29	NA	-8.47931390066933	-9.85782552392306	NA	-6.83102546457934	-10.5947911180893	-10.3723986967528	-7.08172153584989	NA	-10.7203220001731	-7.97030025318147	-1.15202036905759	NA	-9.5358974290357	-9.05047060186545	-6.00482793630974	-10.3723986967528	-8.78743619603166	-8.2728630232019	NA	NA	-2.29558309970199	NA	NA	-7.60989801047947	-6.06601145276123	-8.24901628124753	-7.89435139994817	-7.59479111808926	-10.2728630232019	-7.50732827683893	NA	-7.65619166275341	NA	-6.44504399858458	NA	-6.11366442835265	-2.17272635191645	NA
VIVO8-FEC-16S-FEB11_F29	NA	-8.70268485448786	-10.7231489570476	-11.8524319739925	-7.54865122581544	-9.6429786083636	-12.1519922558515	-9.46011455121378	-11.8524319739925	-12.1519922558515	-8.51258197110792	-2.22080016807491	NA	-9.44304103785484	-9.39300035535525	-4.76033555900175	-8.20857578421782	-8.37669854302615	-8.66260741511253	NA	NA	-1.88151722147673	-11.4601145512138	NA	-4.24787874491351	-5.83423179517932	-7.69761386494044	-7.14852840054788	-9.6429786083636	-11.0450770519349	-9.12451151942935	NA	-7.54409294385314	NA	-5.79038583627205	NA	-4.77895982001608	-1.75794186584824	NA
VIVO8-FEC-16S-FEB28_F28	NA	-8.3622461621331	-10.2816277019248	NA	-7.17583303790222	-10.1047499398407	-11.4832615630945	-7.58602113751966	NA	NA	-7.89829906237331	-1.3787938504531	NA	-9.55726214453824	-9.89829906237331	-5.85099334759495	-10.5572621445382	-9.13276431601033	-8.67590664103686	NA	NA	-2.66980100640278	NA	-9.71772681673149	-7.7071575750213	-6.96598586988488	-7.88632642070723	-7.74990722248064	-7.25829519809419	-10.8051896579818	-7.51978743911958	NA	-7.45646150375075	NA	-6.59087053718106	NA	-5.02711252844647	-1.60950987248584	NA
VIVO8-FEC-16S-APR02_M26	-12.4676361153321	-7.86831832163389	-11.0891244920784	-12.2535113099793	-7.14282551191163	-12.15729599472	-10.9020389394779	-8.23497535854184	-11.8635647916633	-10.4967824609916	-3.21336332840848	-1.72461940148865	-12.2535113099793	-9.68522755040474	-9.43906696313534	-6.6146385277188	-9.88267361461096	-8.88749063090873	-7.8353678998326	NA	-13.6520606864695	-3.1876077587215	-10.8635647916633	-9.32358974571541	-7.92909795170231	-6.4559615819512	-7.88508011231805	-8.21364684910133	-8.07531869255335	-10.4110525869657	-8.09468401742028	NA	-8.58793034904983	-12.3041373830492	-5.92228547050981	-12.4676361153321	-6.40413317302596	-1.4175153849467	-13.4110525869657
VIVO8-FEC-16S-FEB18_F28	NA	-8.50575141782234	-10.3802205357385	NA	-8.01098672607277	-10.0265835811238	-10.2282174422934	-7.52777772415234	NA	NA	-7.86364500999758	-1.87485003808674	NA	-9.38022053573848	-9.22821744229343	-5.68286679747114	-8.52777772415234	-8.96518303645964	-8.40039841767612	NA	NA	-2.00783911459821	-11.0907139185435	NA	-7.05029965009759	-6.45211345422027	-7.75572967083069	-6.33582641638003	-9.19259353256271	NA	-7.8222250826176	NA	-7.48405634672302	NA	-5.82904634847361	NA	-4.99363948250887	-1.60763103184156	NA
