"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"NODE_193_length_39712_cov_6.226190"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-3.93391752796906	0.710938090833022	0.61249566412283	1.96551883634364e-05	0.0519290076561991	1.96551883634364e-05	0.0324310607996701	NA	"abundance"	20	16
"NODE_1125_length_2758_cov_3.078801"	"PrePostFVT"	"Post"	"PrePostFVTPost"	3.23048185700563	0.710938090833022	0.327608624715841	6.82065681153999e-05	0.0600672509869622	0.000136408484094866	0.0711509716304414	NA	"abundance"	20	11
"NODE_177_length_43590_cov_15.368715"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.55584920869528	0.710938090833022	0.534569319334251	6.70603526494633e-05	0.0600672509869622	0.000134116208208029	0.0711509716304414	NA	"abundance"	20	18
"NODE_196_length_44600_cov_157.390863"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.891931032734	0.710938090833022	0.700549200416849	0.000196479259780091	0.113927798210683	0.000196479259780091	0.0711509716304414	NA	"abundance"	20	20
"NODE_69_length_45823_cov_15.638940"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-4.75971502793673	0.710938090833022	0.862455016044992	0.000215609004940732	0.113927798210683	0.000215609004940732	0.0711509716304414	NA	"abundance"	20	15
"NODE_1125_length_2758_cov_3.078801"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-14.409281944615	0	548.929123640537	0.97905809164638	1	0.000136408484094866	0.0711509716304414	NA	"prevalence"	20	11
"NODE_177_length_43590_cov_15.368715"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-11.6790343668742	0	19.0956149642791	0.540797022909662	1	0.000134116208208029	0.0711509716304414	NA	"prevalence"	20	18
"NODE_69_length_45823_cov_15.638940"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-3.39318871934552	0	2.39631085156129	0.156773970661621	0.816311989906032	0.000215609004940732	0.0711509716304414	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	20	15
"NODE_193_length_39712_cov_6.226190"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.84181092521635	0	2.07130358886344	0.170066082809234	0.836713847153782	1.96551883634364e-05	0.0324310607996701	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	20	16
"NODE_196_length_44600_cov_157.390863"	"PrePostFVT"	"Post"	"PrePostFVTPost"	NA	0	NA	NA	NA	0.000196479259780091	0.0711509716304414	"All logistic values are the same"	"prevalence"	20	20
