date,date_of_birth,day,sex,animal,cage,dam,weight,length_body,length_tail,group
2025-01-28,2025-01-21,7,Male,,BP3A,14,3.6,,,1
2025-01-28,2025-01-21,7,Male,,BP3A,14,3.5,,,1
2025-01-28,2025-01-21,7,Female,,BP3A,14,3.5,,,1
2025-01-28,2025-01-21,7,Female,,BP3A,14,2.8,,,1
2025-01-30,2025-01-21,9,Male,,BP3A,14,4.3,,,1
2025-01-30,2025-01-21,9,Male,,BP3A,14,3.9,,,1
2025-01-30,2025-01-21,9,Female,,BP3A,14,4.2,,,1
2025-01-30,2025-01-21,9,Female,,BP3A,14,3.4,,,1
2025-02-04,2025-01-21,14,Male,,BP3A,14,5,45,34,1
2025-02-04,2025-01-21,14,Male,,BP3A,14,5.3,49,36,1
2025-02-04,2025-01-21,14,Female,,BP3A,14,5.2,49,36,1
2025-02-04,2025-01-21,14,Female,,BP3A,14,4.3,44,34,1
2025-02-07,2025-01-21,17,Male,,BP3A,14,5.5,51,38,1
2025-02-07,2025-01-21,17,Male,,BP3A,14,6,55,42,1
2025-02-07,2025-01-21,17,Female,,BP3A,14,5.9,51,38,1
2025-02-07,2025-01-21,17,Female,,BP3A,14,4.7,49,37,1
2025-02-11,2025-01-21,21,Male,30,BP3A,14,7.3,54,44,1
2025-02-11,2025-01-21,21,Male,31,BP3A,14,6,50,45,1
2025-02-11,2025-01-21,21,Female,32,BP3A,14,6.4,55,42,1
2025-02-11,2025-01-21,21,Female,33,BP3A,14,5.4,54,42,1
2025-02-13,2025-01-21,23,Male,30,BP3A,14,8.1,60,49,1
2025-02-13,2025-01-21,23,Male,31,BP3A,14,7.4,55,45,1
2025-02-13,2025-01-21,23,Female,32,BP3A,14,7.9,58,45,1
2025-02-13,2025-01-21,23,Female,33,BP3A,14,6.3,54,46,1
2025-02-18,2025-01-21,28,Male,30,BP3A,14,9.6,60,52,1
2025-02-18,2025-01-21,28,Male,31,BP3A,14,9.1,59,47,1
2025-02-18,2025-01-21,28,Female,32,BP3A,14,9.9,61,48,1
2025-02-18,2025-01-21,28,Female,33,BP3A,14,8.1,54,50,1
2025-02-21,2025-01-21,31,Male,30,BP3A,14,10.6,,,1
2025-02-21,2025-01-21,31,Male,31,BP3A,14,10.3,,,1
2025-02-21,2025-01-21,31,Female,32,BP3A,14,10.2,,,1
2025-02-21,2025-01-21,31,Female,33,BP3A,14,9.1,,,1
2025-02-24,2025-01-21,34,Male,30,BP3A,14,11,,,1
2025-02-24,2025-01-21,34,Male,31,BP3A,14,10.2,,,1
2025-02-24,2025-01-21,34,Female,32,BP3A,14,11.2,,,1
2025-02-24,2025-01-21,34,Female,33,BP3A,14,8.7,,,1
2025-02-25,2025-01-21,35,Male,30,BP3A,14,10.9,,,1
2025-02-25,2025-01-21,35,Male,31,BP3A,14,10.5,,,1
2025-02-25,2025-01-21,35,Female,32,BP3A,14,12.3,,,1
2025-02-25,2025-01-21,35,Female,33,BP3A,14,9.6,,,1
