sample,sum_len
VIVO8_FEC_VLP_APR02_F28,"1,199,177,385"
VIVO8_FEC_VLP_APR02_F28,"1,218,271,620"
VIVO8_FEC_VLP_APR02_F29,"1,161,934,910"
VIVO8_FEC_VLP_APR02_F29,"1,176,842,906"
VIVO8_FEC_VLP_APR02_F32,"200,173,606"
VIVO8_FEC_VLP_APR02_F32,"201,659,669"
VIVO8_FEC_VLP_APR02_F33,"249,200,727"
VIVO8_FEC_VLP_APR02_F33,"250,789,428"
VIVO8_FEC_VLP_APR02_M26,"378,093,158"
VIVO8_FEC_VLP_APR02_M26,"382,067,902"
VIVO8_FEC_VLP_APR02_M27,"532,284,245"
VIVO8_FEC_VLP_APR02_M27,"540,335,927"
VIVO8_FEC_VLP_APR02_M30,"379,554,723"
VIVO8_FEC_VLP_APR02_M30,"382,695,345"
VIVO8_FEC_VLP_APR02_M31,"170,138,503"
VIVO8_FEC_VLP_APR02_M31,"171,138,621"
VIVO8_FEC_VLP_DEC30_F2,"380,283,304"
VIVO8_FEC_VLP_DEC30_F2,"386,680,197"
VIVO8_FEC_VLP_FEB10_F24,"2,211,460,101"
VIVO8_FEC_VLP_FEB10_F24,"2,247,692,292"
VIVO8_FEC_VLP_FEB10_F25,"3,157,465,529"
VIVO8_FEC_VLP_FEB10_F25,"3,209,013,962"
VIVO8_FEC_VLP_FEB10_M23,"1,128,255,264"
VIVO8_FEC_VLP_FEB10_M23,"1,146,170,105"
VIVO8_FEC_VLP_FEB11_F28,"662,484,824"
VIVO8_FEC_VLP_FEB11_F28,"672,893,666"
VIVO8_FEC_VLP_FEB11_F29,"216,449,376"
VIVO8_FEC_VLP_FEB11_F29,"219,122,975"
VIVO8_FEC_VLP_FEB11_F32,"549,774,241"
VIVO8_FEC_VLP_FEB11_F32,"558,369,109"
VIVO8_FEC_VLP_FEB11_F33,"1,073,476,036"
VIVO8_FEC_VLP_FEB11_F33,"1,091,418,258"
VIVO8_FEC_VLP_FEB11_M26,"689,379,788"
VIVO8_FEC_VLP_FEB11_M26,"699,234,304"
VIVO8_FEC_VLP_FEB11_M27,"316,467,125"
VIVO8_FEC_VLP_FEB11_M27,"321,213,815"
VIVO8_FEC_VLP_FEB11_M30,"281,044,298"
VIVO8_FEC_VLP_FEB11_M30,"283,153,653"
VIVO8_FEC_VLP_FEB11_M31,"279,886,372"
VIVO8_FEC_VLP_FEB11_M31,"283,844,384"
VIVO8_FEC_VLP_FEB14_F24,"551,903,165"
VIVO8_FEC_VLP_FEB14_F24,"559,299,194"
VIVO8_FEC_VLP_FEB14_F25,"1,009,073,559"
VIVO8_FEC_VLP_FEB14_F25,"1,025,716,119"
VIVO8_FEC_VLP_FEB14_M23,"1,038,818,958"
VIVO8_FEC_VLP_FEB14_M23,"1,056,415,146"
VIVO8_FEC_VLP_FEB18_F28,"688,418,880"
VIVO8_FEC_VLP_FEB18_F28,"701,142,671"
VIVO8_FEC_VLP_FEB18_F29,"588,271,092"
VIVO8_FEC_VLP_FEB18_F29,"595,323,868"
VIVO8_FEC_VLP_FEB18_F32,"2,847,251,687"
VIVO8_FEC_VLP_FEB18_F32,"2,888,204,229"
VIVO8_FEC_VLP_FEB18_F33,"1,415,032,860"
VIVO8_FEC_VLP_FEB18_F33,"1,437,800,218"
VIVO8_FEC_VLP_FEB18_M26,"91,572,548"
VIVO8_FEC_VLP_FEB18_M26,"92,100,911"
VIVO8_FEC_VLP_FEB18_M27,"142,281,956"
