Date,AnimalID,SampleID,SampleName,Group,Dam,DonorID,SampleType,PrePostFVT,PostnatalDay
FEB11,M30,1,VIVO8_FEC_VLP_FEB11_M30,1,F14,1,Pup,Pre,21
FEB11,M31,2,VIVO8_FEC_VLP_FEB11_M31,1,F14,1,Pup,Pre,21
FEB11,F32,3,VIVO8_FEC_VLP_FEB11_F32,1,F14,1,Pup,Pre,21
FEB11,F33,4,VIVO8_FEC_VLP_FEB11_F33,1,F14,1,Pup,Pre,21
FEB18,M30,5,VIVO8_FEC_VLP_FEB18_M30,1,F14,1,Pup,Pre,28
FEB18,M31,6,VIVO8_FEC_VLP_FEB18_M31,1,F14,1,Pup,Pre,28
FEB18,F32,7,VIVO8_FEC_VLP_FEB18_F32,1,F14,1,Pup,Pre,28
FEB18,F33,8,VIVO8_FEC_VLP_FEB18_F33,1,F14,1,Pup,Pre,28
FEB21,M30,9,VIVO8_FEC_VLP_FEB21_M30,1,F14,1,Pup,During,31
FEB21,M31,10,VIVO8_FEC_VLP_FEB21_M31,1,F14,1,Pup,During,31
FEB21,F32,11,VIVO8_FEC_VLP_FEB21_F32,1,F14,1,Pup,During,31
FEB21,F33,12,VIVO8_FEC_VLP_FEB21_F33,1,F14,1,Pup,During,31
FEB28,M30,13,VIVO8_FEC_VLP_FEB28_M30,1,F14,1,Pup,Post,38
FEB28,M31,14,VIVO8_FEC_VLP_FEB28_M31,1,F14,1,Pup,Post,38
FEB28,F32,15,VIVO8_FEC_VLP_FEB28_F32,1,F14,1,Pup,Post,38
FEB28,F33,16,VIVO8_FEC_VLP_FEB28_F33,1,F14,1,Pup,Post,38
MAR07,M30,17,VIVO8_FEC_VLP_MAR07_M30,1,F14,1,Pup,Post,45
MAR07,M31,18,VIVO8_FEC_VLP_MAR07_M31,1,F14,1,Pup,Post,45
MAR07,F32,19,VIVO8_FEC_VLP_MAR07_F32,1,F14,1,Pup,Post,45
MAR07,F33,20,VIVO8_FEC_VLP_MAR07_F33,1,F14,1,Pup,Post,45
APR02,M30,21,VIVO8_FEC_VLP_APR02_M30,1,F14,1,Pup,Post,71
APR02,M31,22,VIVO8_FEC_VLP_APR02_M31,1,F14,1,Pup,Post,71
APR02,F32,23,VIVO8_FEC_VLP_APR02_F32,1,F14,1,Pup,Post,71
APR02,F33,24,VIVO8_FEC_VLP_APR02_F33,1,F14,1,Pup,Post,71
FEB11,M26,25,VIVO8_FEC_VLP_FEB11_M26,2,F12,1,Pup,Pre,25
FEB11,M27,26,VIVO8_FEC_VLP_FEB11_M27,2,F12,1,Pup,Pre,25
FEB11,F28,27,VIVO8_FEC_VLP_FEB11_F28,2,F12,1,Pup,Pre,25
FEB11,F29,28,VIVO8_FEC_VLP_FEB11_F29,2,F12,1,Pup,Pre,25
FEB18,M26,29,VIVO8_FEC_VLP_FEB18_M26,2,F12,1,Pup,Pre,32
FEB18,M27,30,VIVO8_FEC_VLP_FEB18_M27,2,F12,1,Pup,Pre,32
FEB18,F28,31,VIVO8_FEC_VLP_FEB18_F28,2,F12,1,Pup,Pre,32
FEB18,F29,32,VIVO8_FEC_VLP_FEB18_F29,2,F12,1,Pup,Pre,32
FEB21,M26,33,VIVO8_FEC_VLP_FEB21_M26,2,F12,1,Pup,During,35
FEB21,M27,34,VIVO8_FEC_VLP_FEB21_M27,2,F12,1,Pup,During,35
FEB21,F28,35,VIVO8_FEC_VLP_FEB21_F28,2,F12,1,Pup,During,35
FEB21,F29,36,VIVO8_FEC_VLP_FEB21_F29,2,F12,1,Pup,During,35
FEB28,M26,37,VIVO8_FEC_VLP_FEB28_M26,2,F12,1,Pup,Post,42
FEB28,M27,38,VIVO8_FEC_VLP_FEB28_M27,2,F12,1,Pup,Post,42
FEB28,F28,39,VIVO8_FEC_VLP_FEB28_F28,2,F12,1,Pup,Post,42
FEB28,F29,40,VIVO8_FEC_VLP_FEB28_F29,2,F12,1,Pup,Post,42
MAR07,M26,41,VIVO8_FEC_VLP_MAR07_M26,2,F12,1,Pup,Post,49
MAR07,M27,42,VIVO8_FEC_VLP_MAR07_M27,2,F12,1,Pup,Post,49
MAR07,F28,43,VIVO8_FEC_VLP_MAR07_F28,2,F12,1,Pup,Post,49
MAR07,F29,44,VIVO8_FEC_VLP_MAR07_F29,2,F12,1,Pup,Post,49
APR02,M26,45,VIVO8_FEC_VLP_APR02_M26,2,F12,1,Pup,Post,75
APR02,M27,46,VIVO8_FEC_VLP_APR02_M27,2,F12,1,Pup,Post,75
APR02,F28,47,VIVO8_FEC_VLP_APR02_F28,2,F12,1,Pup,Post,75
APR02,F29,48,VIVO8_FEC_VLP_APR02_F29,2,F12,1,Pup,Post,75
JAN30,M23,49,VIVO8_FEC_VLP_JAN30_M23,3,F2,1,Pup,Pre,20
JAN30,F24,50,VIVO8_FEC_VLP_JAN30_F24,3,F2,1,Pup,Pre,20
JAN30,F25,51,VIVO8_FEC_VLP_JAN30_F25,3,F2,1,Pup,Pre,20
FEB10,M23,52,VIVO8_FEC_VLP_FEB10_M23,3,F2,1,Pup,Pre,31
FEB10,F24,53,VIVO8_FEC_VLP_FEB10_F24,3,F2,1,Pup,Pre,31
FEB10,F25,54,VIVO8_FEC_VLP_FEB10_F25,3,F2,1,Pup,Pre,31
FEB14,M23,55,VIVO8_FEC_VLP_FEB14_M23,3,F2,1,Pup,During,35
FEB14,F24,56,VIVO8_FEC_VLP_FEB14_F24,3,F2,1,Pup,During,35
FEB14,F25,57,VIVO8_FEC_VLP_FEB14_F25,3,F2,1,Pup,During,35
FEB24,M23,58,VIVO8_FEC_VLP_FEB24_M23,3,F2,1,Pup,Post,45
FEB24,F24,59,VIVO8_FEC_VLP_FEB24_F24,3,F2,1,Pup,Post,45
FEB24,F25,60,VIVO8_FEC_VLP_FEB24_F25,3,F2,1,Pup,Post,45
FEB28,M23,61,VIVO8_FEC_VLP_FEB28_M23,3,F2,1,Pup,Post,49
FEB28,F24,62,VIVO8_FEC_VLP_FEB28_F24,3,F2,1,Pup,Post,49
FEB28,F25,63,VIVO8_FEC_VLP_FEB28_F25,3,F2,1,Pup,Post,49
MAR25,M23,64,VIVO8_FEC_VLP_MAR25_M23,3,F2,1,Pup,Post,74
MAR25,F24,65,VIVO8_FEC_VLP_MAR25_F24,3,F2,1,Pup,Post,74
MAR25,F25,66,VIVO8_FEC_VLP_MAR25_F25,3,F2,1,Pup,Post,74
DEC30,F2,67,VIVO8_FEC_VLP_DEC30_F2,3,,1,Breeder,,
JAN06,F12,68,VIVO8_FEC_VLP_JAN06_F12,2,,1,Breeder,,
JAN15,F14,69,VIVO8_FEC_VLP_JAN15_F14,1,,1,Breeder,,
JAN17,F2,70,VIVO8_FEC_VLP_JAN17_F2,3,,1,Breeder,,
JAN23,F12,71,VIVO8_FEC_VLP_JAN23_F12,2,,1,Breeder,,
JAN28,F14,72,VIVO8_FEC_VLP_JAN28_F14,1,,1,Breeder,,
NA,NA,NA,VIVO8_VLP_DONOR1,NA,NA,1,Inoculum,,
NA,NA,NA,VIVO8_VLP_DONOR2,NA,NA,2,Inoculum,,
